pair_id,label,ground_truth,frgp,which_hand,subject1,subject2,img1_path,img2_path,s1_age,s1_gender,s1_race,s2_age,s2_gender,s2_race
G_2369_frgp14,genuine,A,14,left,00002369,00002369,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002369_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002369_R_1000_slap_14.png,36,female,white,36,female,white
I_00002304_00002306_frgp13,impostor,B,13,right,00002304,00002306,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002306_R_500_slap_13.png,37,male,white,59,male,white
G_2415_frgp14,genuine,A,14,left,00002415,00002415,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002415_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002415_R_1000_slap_14.png,57,female,white,57,female,white
G_2425_frgp13,genuine,A,13,right,00002425,00002425,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002425_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002425_R_1000_slap_13.png,32,female,white,32,female,white
I_00002304_00002398_frgp13,impostor,B,13,right,00002304,00002398,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002398_R_500_slap_13.png,37,male,white,40,female,african american
G_2409_frgp13,genuine,A,13,right,00002409,00002409,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002409_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002409_R_1000_slap_13.png,47,male,white,47,male,white
I_00002330_00002394_frgp14,impostor,B,14,left,00002330,00002394,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002394_R_500_slap_14.png,36,male,asian,41,male,white
I_00002304_00002376_frgp13,impostor,B,13,right,00002304,00002376,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002376_R_500_slap_13.png,37,male,white,60,male,white
I_00002304_00002339_frgp13,impostor,B,13,right,00002304,00002339,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002339_R_500_slap_13.png,37,male,white,35,male,asian
G_2338_frgp14,genuine,A,14,left,00002338,00002338,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002338_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002338_R_1000_slap_14.png,24,female,white,24,female,white
I_00002304_00002337_frgp13,impostor,B,13,right,00002304,00002337,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002337_R_500_slap_13.png,37,male,white,33,male,white
I_00002304_00002321_frgp13,impostor,B,13,right,00002304,00002321,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002321_R_500_slap_13.png,37,male,white,44,female,white
G_2386_frgp13,genuine,A,13,right,00002386,00002386,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002386_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002386_R_1000_slap_13.png,59,female,white,59,female,white
I_00002330_00002310_frgp14,impostor,B,14,left,00002330,00002310,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002310_R_500_slap_14.png,36,male,asian,44,female,white
I_00002304_00002326_frgp13,impostor,B,13,right,00002304,00002326,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002326_R_500_slap_13.png,37,male,white,56,male,white
I_00002304_00002315_frgp13,impostor,B,13,right,00002304,00002315,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002315_R_500_slap_13.png,37,male,white,57,female,white
I_00002330_00002356_frgp14,impostor,B,14,left,00002330,00002356,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002356_R_500_slap_14.png,36,male,asian,48,male,white
G_2359_frgp14,genuine,A,14,left,00002359,00002359,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002359_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002359_R_1000_slap_14.png,56,male,white,56,male,white
G_2383_frgp14,genuine,A,14,left,00002383,00002383,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002383_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002383_R_1000_slap_14.png,47,female,white,47,female,white
I_00002330_00002314_frgp14,impostor,B,14,left,00002330,00002314,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002314_R_500_slap_14.png,36,male,asian,25,female,african american
I_00002330_00002306_frgp14,impostor,B,14,left,00002330,00002306,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002306_R_500_slap_14.png,36,male,asian,59,male,white
G_2367_frgp13,genuine,A,13,right,00002367,00002367,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002367_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002367_R_1000_slap_13.png,30,female,white,30,female,white
G_2380_frgp14,genuine,A,14,left,00002380,00002380,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002380_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002380_R_1000_slap_14.png,48,male,white,48,male,white
I_00002330_00002406_frgp14,impostor,B,14,left,00002330,00002406,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002406_R_500_slap_14.png,36,male,asian,35,male,white
I_00002330_00002334_frgp14,impostor,B,14,left,00002330,00002334,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002334_R_500_slap_14.png,36,male,asian,51,female,white
I_00002304_00002338_frgp13,impostor,B,13,right,00002304,00002338,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002338_R_500_slap_13.png,37,male,white,24,female,white
G_2312_frgp14,genuine,A,14,left,00002312,00002312,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002312_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002312_R_1000_slap_14.png,57,female,white,57,female,white
G_2379_frgp13,genuine,A,13,right,00002379,00002379,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002379_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002379_R_1000_slap_13.png,38,female,white,38,female,white
G_2373_frgp14,genuine,A,14,left,00002373,00002373,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002373_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002373_R_1000_slap_14.png,24,male,white,24,male,white
G_2355_frgp13,genuine,A,13,right,00002355,00002355,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002355_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002355_R_1000_slap_13.png,28,female,white,28,female,white
G_2423_frgp14,genuine,A,14,left,00002423,00002423,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002423_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002423_R_1000_slap_14.png,33,female,african american,33,female,african american
G_2307_frgp14,genuine,A,14,left,00002307,00002307,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002307_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002307_R_1000_slap_14.png,45,female,african american,45,female,african american
I_00002330_00002373_frgp14,impostor,B,14,left,00002330,00002373,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002373_R_500_slap_14.png,36,male,asian,24,male,white
G_2362_frgp14,genuine,A,14,left,00002362,00002362,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002362_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002362_R_1000_slap_14.png,40,female,white,40,female,white
I_00002304_00002408_frgp13,impostor,B,13,right,00002304,00002408,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002408_R_500_slap_13.png,37,male,white,59,female,white
I_00002304_00002426_frgp13,impostor,B,13,right,00002304,00002426,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002426_R_500_slap_13.png,37,male,white,49,male,white
I_00002304_00002406_frgp13,impostor,B,13,right,00002304,00002406,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002406_R_500_slap_13.png,37,male,white,35,male,white
G_2428_frgp13,genuine,A,13,right,00002428,00002428,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002428_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002428_R_1000_slap_13.png,55,female,white,55,female,white
I_00002330_00002384_frgp14,impostor,B,14,left,00002330,00002384,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002384_R_500_slap_14.png,36,male,asian,36,female,white
I_00002304_00002481_frgp13,impostor,B,13,right,00002304,00002481,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002481_R_500_slap_13.png,37,male,white,34,male,white
G_2327_frgp13,genuine,A,13,right,00002327,00002327,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002327_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002327_R_1000_slap_13.png,45,female,white,45,female,white
I_00002330_00002455_frgp14,impostor,B,14,left,00002330,00002455,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002455_R_500_slap_14.png,36,male,asian,60,female,african american
G_2320_frgp14,genuine,A,14,left,00002320,00002320,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002320_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002320_R_1000_slap_14.png,54,female,white,54,female,white
I_00002304_00002384_frgp13,impostor,B,13,right,00002304,00002384,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002384_R_500_slap_13.png,37,male,white,36,female,white
G_2371_frgp14,genuine,A,14,left,00002371,00002371,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002371_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002371_R_1000_slap_14.png,26,male,white,26,male,white
