pair_id,label,frgp,which_hand,subject1,subject2,ground_truth
I_00002374_00002481_frgp13,impostor,13,right,2374,2481,B
I_00002303_00002317_frgp13,impostor,13,right,2303,2317,B
I_00002341_00002357_frgp14,impostor,14,left,2341,2357,B
I_00002303_00002319_frgp14,impostor,14,left,2303,2319,B
I_00002325_00002376_frgp13,impostor,13,right,2325,2376,B
I_00002310_00002423_frgp13,impostor,13,right,2310,2423,B
I_00002320_00002340_frgp13,impostor,13,right,2320,2340,B
I_00002407_00002418_frgp13,impostor,13,right,2407,2418,B
I_00002356_00002360_frgp14,impostor,14,left,2356,2360,B
I_00002386_00002425_frgp14,impostor,14,left,2386,2425,B
I_00002338_00002412_frgp14,impostor,14,left,2338,2412,B
I_00002315_00002320_frgp13,impostor,13,right,2315,2320,B
I_00002353_00002360_frgp13,impostor,13,right,2353,2360,B
I_00002349_00002360_frgp13,impostor,13,right,2349,2360,B
I_00002310_00002415_frgp13,impostor,13,right,2310,2415,B
I_00002314_00002408_frgp14,impostor,14,left,2314,2408,B
G_2303_frgp14,genuine,14,left,2303,2303,A
I_00002356_00002373_frgp13,impostor,13,right,2356,2373,B
I_00002317_00002358_frgp13,impostor,13,right,2317,2358,B
I_00002369_00002447_frgp14,impostor,14,left,2369,2447,B
I_00002334_00002386_frgp14,impostor,14,left,2334,2386,B
I_00002401_00002455_frgp14,impostor,14,left,2401,2455,B
I_00002360_00002462_frgp14,impostor,14,left,2360,2462,B
I_00002326_00002418_frgp13,impostor,13,right,2326,2418,B
I_00002412_00002428_frgp14,impostor,14,left,2412,2428,B
I_00002329_00002447_frgp14,impostor,14,left,2329,2447,B
I_00002364_00002373_frgp14,impostor,14,left,2364,2373,B
I_00002358_00002423_frgp14,impostor,14,left,2358,2423,B
I_00002325_00002455_frgp13,impostor,13,right,2325,2455,B
I_00002314_00002321_frgp13,impostor,13,right,2314,2321,B
I_00002367_00002405_frgp13,impostor,13,right,2367,2405,B
I_00002306_00002348_frgp13,impostor,13,right,2306,2348,B
I_00002374_00002379_frgp14,impostor,14,left,2374,2379,B
I_00002342_00002359_frgp14,impostor,14,left,2342,2359,B
I_00002303_00002403_frgp14,impostor,14,left,2303,2403,B
I_00002303_00002307_frgp13,impostor,13,right,2303,2307,B
I_00002307_00002313_frgp14,impostor,14,left,2307,2313,B
I_00002325_00002374_frgp13,impostor,13,right,2325,2374,B
G_2392_frgp14,genuine,14,left,2392,2392,A
I_00002304_00002379_frgp13,impostor,13,right,2304,2379,B
I_00002364_00002413_frgp14,impostor,14,left,2364,2413,B
I_00002362_00002407_frgp14,impostor,14,left,2362,2407,B
I_00002338_00002380_frgp13,impostor,13,right,2338,2380,B
I_00002406_00002413_frgp14,impostor,14,left,2406,2413,B
I_00002371_00002395_frgp14,impostor,14,left,2371,2395,B
I_00002375_00002388_frgp14,impostor,14,left,2375,2388,B
G_2356_frgp13,genuine,13,right,2356,2356,A
I_00002409_00002440_frgp14,impostor,14,left,2409,2440,B
I_00002313_00002372_frgp14,impostor,14,left,2313,2372,B
I_00002315_00002423_frgp13,impostor,13,right,2315,2423,B
I_00002349_00002376_frgp14,impostor,14,left,2349,2376,B
I_00002391_00002395_frgp13,impostor,13,right,2391,2395,B
I_00002395_00002415_frgp13,impostor,13,right,2395,2415,B
I_00002328_00002370_frgp14,impostor,14,left,2328,2370,B
I_00002306_00002481_frgp13,impostor,13,right,2306,2481,B
I_00002337_00002355_frgp14,impostor,14,left,2337,2355,B
I_00002373_00002380_frgp14,impostor,14,left,2373,2380,B
I_00002326_00002423_frgp14,impostor,14,left,2326,2423,B
I_00002352_00002376_frgp14,impostor,14,left,2352,2376,B
I_00002327_00002380_frgp13,impostor,13,right,2327,2380,B
I_00002362_00002415_frgp14,impostor,14,left,2362,2415,B
I_00002372_00002462_frgp13,impostor,13,right,2372,2462,B
I_00002428_00002481_frgp14,impostor,14,left,2428,2481,B
I_00002320_00002424_frgp14,impostor,14,left,2320,2424,B
I_00002310_00002348_frgp14,impostor,14,left,2310,2348,B
I_00002351_00002364_frgp13,impostor,13,right,2351,2364,B
I_00002348_00002401_frgp14,impostor,14,left,2348,2401,B
I_00002337_00002351_frgp14,impostor,14,left,2337,2351,B
I_00002338_00002440_frgp13,impostor,13,right,2338,2440,B
I_00002338_00002381_frgp14,impostor,14,left,2338,2381,B
I_00002320_00002355_frgp13,impostor,13,right,2320,2355,B
I_00002321_00002398_frgp13,impostor,13,right,2321,2398,B
I_00002353_00002360_frgp14,impostor,14,left,2353,2360,B
I_00002325_00002396_frgp13,impostor,13,right,2325,2396,B
I_00002344_00002386_frgp13,impostor,13,right,2344,2386,B
I_00002406_00002463_frgp13,impostor,13,right,2406,2463,B
I_00002312_00002415_frgp14,impostor,14,left,2312,2415,B
I_00002368_00002424_frgp13,impostor,13,right,2368,2424,B
I_00002413_00002418_frgp13,impostor,13,right,2413,2418,B
I_00002401_00002403_frgp14,impostor,14,left,2401,2403,B
I_00002341_00002355_frgp14,impostor,14,left,2341,2355,B
I_00002328_00002337_frgp13,impostor,13,right,2328,2337,B
I_00002362_00002371_frgp14,impostor,14,left,2362,2371,B
I_00002325_00002338_frgp14,impostor,14,left,2325,2338,B
I_00002375_00002403_frgp13,impostor,13,right,2375,2403,B
I_00002319_00002334_frgp14,impostor,14,left,2319,2334,B
I_00002339_00002344_frgp14,impostor,14,left,2339,2344,B
I_00002391_00002447_frgp13,impostor,13,right,2391,2447,B
G_2339_frgp14,genuine,14,left,2339,2339,A
I_00002332_00002367_frgp13,impostor,13,right,2332,2367,B
I_00002359_00002408_frgp13,impostor,13,right,2359,2408,B
I_00002312_00002355_frgp13,impostor,13,right,2312,2355,B
I_00002304_00002386_frgp14,impostor,14,left,2304,2386,B
I_00002413_00002426_frgp14,impostor,14,left,2413,2426,B
I_00002349_00002462_frgp14,impostor,14,left,2349,2462,B
I_00002339_00002388_frgp14,impostor,14,left,2339,2388,B
I_00002312_00002402_frgp14,impostor,14,left,2312,2402,B
I_00002368_00002408_frgp13,impostor,13,right,2368,2408,B
G_2388_frgp14,genuine,14,left,2388,2388,A
I_00002412_00002415_frgp14,impostor,14,left,2412,2415,B
I_00002339_00002425_frgp13,impostor,13,right,2339,2425,B
I_00002321_00002379_frgp14,impostor,14,left,2321,2379,B
I_00002373_00002379_frgp13,impostor,13,right,2373,2379,B
I_00002320_00002415_frgp13,impostor,13,right,2320,2415,B
I_00002310_00002355_frgp13,impostor,13,right,2310,2355,B
I_00002373_00002428_frgp14,impostor,14,left,2373,2428,B
I_00002307_00002440_frgp14,impostor,14,left,2307,2440,B
I_00002320_00002463_frgp14,impostor,14,left,2320,2463,B
I_00002356_00002358_frgp13,impostor,13,right,2356,2358,B
I_00002396_00002463_frgp14,impostor,14,left,2396,2463,B
I_00002340_00002380_frgp14,impostor,14,left,2340,2380,B
I_00002326_00002425_frgp13,impostor,13,right,2326,2425,B
G_2339_frgp13,genuine,13,right,2339,2339,A
I_00002306_00002362_frgp14,impostor,14,left,2306,2362,B
I_00002319_00002342_frgp13,impostor,13,right,2319,2342,B
I_00002306_00002386_frgp13,impostor,13,right,2306,2386,B
I_00002313_00002383_frgp14,impostor,14,left,2313,2383,B
I_00002376_00002388_frgp14,impostor,14,left,2376,2388,B
I_00002403_00002412_frgp14,impostor,14,left,2403,2412,B
I_00002376_00002391_frgp13,impostor,13,right,2376,2391,B
I_00002326_00002396_frgp14,impostor,14,left,2326,2396,B
I_00002367_00002398_frgp13,impostor,13,right,2367,2398,B
I_00002320_00002357_frgp13,impostor,13,right,2320,2357,B
G_2368_frgp13,genuine,13,right,2368,2368,A
I_00002338_00002362_frgp13,impostor,13,right,2338,2362,B
I_00002351_00002391_frgp14,impostor,14,left,2351,2391,B
I_00002412_00002447_frgp14,impostor,14,left,2412,2447,B
I_00002349_00002391_frgp13,impostor,13,right,2349,2391,B
G_2328_frgp14,genuine,14,left,2328,2328,A
I_00002356_00002405_frgp13,impostor,13,right,2356,2405,B
G_2428_frgp13,genuine,13,right,2428,2428,A
I_00002327_00002396_frgp13,impostor,13,right,2327,2396,B
I_00002325_00002403_frgp14,impostor,14,left,2325,2403,B
I_00002319_00002362_frgp14,impostor,14,left,2319,2362,B
I_00002329_00002424_frgp14,impostor,14,left,2329,2424,B
I_00002334_00002447_frgp13,impostor,13,right,2334,2447,B
I_00002325_00002399_frgp14,impostor,14,left,2325,2399,B
I_00002303_00002327_frgp13,impostor,13,right,2303,2327,B
I_00002304_00002375_frgp14,impostor,14,left,2304,2375,B
I_00002356_00002386_frgp14,impostor,14,left,2356,2386,B
I_00002369_00002374_frgp13,impostor,13,right,2369,2374,B
I_00002352_00002369_frgp14,impostor,14,left,2352,2369,B
I_00002344_00002428_frgp14,impostor,14,left,2344,2428,B
I_00002328_00002398_frgp13,impostor,13,right,2328,2398,B
I_00002356_00002383_frgp14,impostor,14,left,2356,2383,B
I_00002357_00002407_frgp13,impostor,13,right,2357,2407,B
I_00002415_00002455_frgp14,impostor,14,left,2415,2455,B
I_00002312_00002425_frgp14,impostor,14,left,2312,2425,B
I_00002388_00002399_frgp13,impostor,13,right,2388,2399,B
I_00002349_00002362_frgp13,impostor,13,right,2349,2362,B
I_00002344_00002408_frgp13,impostor,13,right,2344,2408,B
I_00002332_00002423_frgp14,impostor,14,left,2332,2423,B
I_00002369_00002424_frgp14,impostor,14,left,2369,2424,B
I_00002327_00002349_frgp14,impostor,14,left,2327,2349,B
I_00002332_00002398_frgp13,impostor,13,right,2332,2398,B
I_00002376_00002396_frgp13,impostor,13,right,2376,2396,B
I_00002304_00002395_frgp13,impostor,13,right,2304,2395,B
I_00002317_00002368_frgp14,impostor,14,left,2317,2368,B
I_00002330_00002381_frgp14,impostor,14,left,2330,2381,B
I_00002314_00002374_frgp14,impostor,14,left,2314,2374,B
I_00002396_00002399_frgp13,impostor,13,right,2396,2399,B
I_00002398_00002415_frgp14,impostor,14,left,2398,2415,B
I_00002328_00002425_frgp14,impostor,14,left,2328,2425,B
I_00002338_00002364_frgp13,impostor,13,right,2338,2364,B
I_00002320_00002352_frgp13,impostor,13,right,2320,2352,B
I_00002334_00002379_frgp13,impostor,13,right,2334,2379,B
I_00002386_00002428_frgp14,impostor,14,left,2386,2428,B
I_00002370_00002373_frgp13,impostor,13,right,2370,2373,B
I_00002364_00002383_frgp14,impostor,14,left,2364,2383,B
I_00002342_00002426_frgp13,impostor,13,right,2342,2426,B
I_00002329_00002406_frgp13,impostor,13,right,2329,2406,B
I_00002303_00002426_frgp13,impostor,13,right,2303,2426,B
I_00002321_00002334_frgp14,impostor,14,left,2321,2334,B
I_00002369_00002396_frgp14,impostor,14,left,2369,2396,B
I_00002306_00002356_frgp13,impostor,13,right,2306,2356,B
I_00002306_00002392_frgp14,impostor,14,left,2306,2392,B
I_00002356_00002359_frgp14,impostor,14,left,2356,2359,B
I_00002312_00002315_frgp14,impostor,14,left,2312,2315,B
I_00002370_00002440_frgp13,impostor,13,right,2370,2440,B
I_00002338_00002344_frgp13,impostor,13,right,2338,2344,B
I_00002319_00002330_frgp14,impostor,14,left,2319,2330,B
I_00002334_00002341_frgp13,impostor,13,right,2334,2341,B
I_00002379_00002395_frgp13,impostor,13,right,2379,2395,B
I_00002374_00002424_frgp13,impostor,13,right,2374,2424,B
I_00002341_00002367_frgp14,impostor,14,left,2341,2367,B
I_00002321_00002373_frgp14,impostor,14,left,2321,2373,B
I_00002303_00002342_frgp13,impostor,13,right,2303,2342,B
I_00002403_00002415_frgp13,impostor,13,right,2403,2415,B
I_00002334_00002418_frgp13,impostor,13,right,2334,2418,B
I_00002330_00002386_frgp13,impostor,13,right,2330,2386,B
I_00002342_00002357_frgp14,impostor,14,left,2342,2357,B
I_00002327_00002403_frgp13,impostor,13,right,2327,2403,B
I_00002320_00002413_frgp13,impostor,13,right,2320,2413,B
I_00002307_00002380_frgp14,impostor,14,left,2307,2380,B
I_00002351_00002428_frgp14,impostor,14,left,2351,2428,B
I_00002340_00002447_frgp14,impostor,14,left,2340,2447,B
I_00002418_00002440_frgp14,impostor,14,left,2418,2440,B
I_00002332_00002481_frgp14,impostor,14,left,2332,2481,B
I_00002391_00002408_frgp13,impostor,13,right,2391,2408,B
I_00002329_00002352_frgp13,impostor,13,right,2329,2352,B
I_00002303_00002406_frgp13,impostor,13,right,2303,2406,B
I_00002370_00002374_frgp13,impostor,13,right,2370,2374,B
I_00002327_00002373_frgp14,impostor,14,left,2327,2373,B
I_00002362_00002428_frgp14,impostor,14,left,2362,2428,B
I_00002328_00002341_frgp13,impostor,13,right,2328,2341,B
I_00002402_00002407_frgp13,impostor,13,right,2402,2407,B
I_00002348_00002370_frgp14,impostor,14,left,2348,2370,B
I_00002332_00002355_frgp14,impostor,14,left,2332,2355,B
I_00002334_00002388_frgp14,impostor,14,left,2334,2388,B
I_00002303_00002455_frgp14,impostor,14,left,2303,2455,B
I_00002370_00002402_frgp13,impostor,13,right,2370,2402,B
I_00002351_00002428_frgp13,impostor,13,right,2351,2428,B
I_00002321_00002462_frgp13,impostor,13,right,2321,2462,B
I_00002327_00002370_frgp13,impostor,13,right,2327,2370,B
I_00002319_00002368_frgp14,impostor,14,left,2319,2368,B
I_00002353_00002455_frgp14,impostor,14,left,2353,2455,B
I_00002352_00002463_frgp13,impostor,13,right,2352,2463,B
I_00002388_00002395_frgp14,impostor,14,left,2388,2395,B
I_00002329_00002351_frgp13,impostor,13,right,2329,2351,B
I_00002320_00002371_frgp14,impostor,14,left,2320,2371,B
I_00002418_00002423_frgp14,impostor,14,left,2418,2423,B
I_00002348_00002396_frgp13,impostor,13,right,2348,2396,B
I_00002348_00002367_frgp13,impostor,13,right,2348,2367,B
I_00002337_00002428_frgp13,impostor,13,right,2337,2428,B
I_00002326_00002371_frgp13,impostor,13,right,2326,2371,B
I_00002338_00002394_frgp13,impostor,13,right,2338,2394,B
I_00002428_00002463_frgp14,impostor,14,left,2428,2463,B
I_00002372_00002373_frgp13,impostor,13,right,2372,2373,B
I_00002330_00002334_frgp14,impostor,14,left,2330,2334,B
I_00002310_00002340_frgp13,impostor,13,right,2310,2340,B
I_00002306_00002338_frgp14,impostor,14,left,2306,2338,B
I_00002332_00002372_frgp13,impostor,13,right,2332,2372,B
I_00002355_00002370_frgp14,impostor,14,left,2355,2370,B
I_00002320_00002329_frgp13,impostor,13,right,2320,2329,B
I_00002325_00002413_frgp13,impostor,13,right,2325,2413,B
G_2379_frgp13,genuine,13,right,2379,2379,A
I_00002312_00002394_frgp13,impostor,13,right,2312,2394,B
I_00002360_00002463_frgp14,impostor,14,left,2360,2463,B
I_00002339_00002352_frgp13,impostor,13,right,2339,2352,B
I_00002359_00002362_frgp13,impostor,13,right,2359,2362,B
I_00002312_00002399_frgp14,impostor,14,left,2312,2399,B
I_00002391_00002402_frgp13,impostor,13,right,2391,2402,B
I_00002306_00002440_frgp14,impostor,14,left,2306,2440,B
I_00002314_00002376_frgp14,impostor,14,left,2314,2376,B
I_00002329_00002413_frgp13,impostor,13,right,2329,2413,B
I_00002314_00002463_frgp13,impostor,13,right,2314,2463,B
I_00002314_00002455_frgp13,impostor,13,right,2314,2455,B
I_00002367_00002413_frgp13,impostor,13,right,2367,2413,B
I_00002306_00002353_frgp14,impostor,14,left,2306,2353,B
I_00002370_00002398_frgp14,impostor,14,left,2370,2398,B
I_00002307_00002396_frgp13,impostor,13,right,2307,2396,B
I_00002307_00002407_frgp14,impostor,14,left,2307,2407,B
I_00002373_00002395_frgp14,impostor,14,left,2373,2395,B
I_00002362_00002426_frgp13,impostor,13,right,2362,2426,B
I_00002394_00002395_frgp14,impostor,14,left,2394,2395,B
I_00002310_00002409_frgp14,impostor,14,left,2310,2409,B
I_00002348_00002398_frgp13,impostor,13,right,2348,2398,B
I_00002372_00002463_frgp13,impostor,13,right,2372,2463,B
I_00002317_00002403_frgp13,impostor,13,right,2317,2403,B
I_00002334_00002392_frgp14,impostor,14,left,2334,2392,B
I_00002306_00002315_frgp13,impostor,13,right,2306,2315,B
I_00002329_00002455_frgp14,impostor,14,left,2329,2455,B
I_00002307_00002409_frgp14,impostor,14,left,2307,2409,B
I_00002384_00002386_frgp14,impostor,14,left,2384,2386,B
I_00002327_00002425_frgp13,impostor,13,right,2327,2425,B
I_00002369_00002372_frgp13,impostor,13,right,2369,2372,B
I_00002342_00002395_frgp14,impostor,14,left,2342,2395,B
I_00002319_00002349_frgp14,impostor,14,left,2319,2349,B
I_00002338_00002355_frgp13,impostor,13,right,2338,2355,B
I_00002348_00002481_frgp13,impostor,13,right,2348,2481,B
I_00002388_00002428_frgp14,impostor,14,left,2388,2428,B
I_00002325_00002407_frgp14,impostor,14,left,2325,2407,B
I_00002313_00002384_frgp14,impostor,14,left,2313,2384,B
I_00002303_00002406_frgp14,impostor,14,left,2303,2406,B
I_00002328_00002405_frgp14,impostor,14,left,2328,2405,B
I_00002394_00002455_frgp13,impostor,13,right,2394,2455,B
I_00002338_00002384_frgp13,impostor,13,right,2338,2384,B
I_00002396_00002463_frgp13,impostor,13,right,2396,2463,B
I_00002332_00002384_frgp13,impostor,13,right,2332,2384,B
I_00002328_00002329_frgp13,impostor,13,right,2328,2329,B
I_00002321_00002405_frgp13,impostor,13,right,2321,2405,B
I_00002403_00002462_frgp13,impostor,13,right,2403,2462,B
I_00002338_00002340_frgp14,impostor,14,left,2338,2340,B
I_00002371_00002428_frgp14,impostor,14,left,2371,2428,B
I_00002306_00002325_frgp13,impostor,13,right,2306,2325,B
I_00002334_00002370_frgp13,impostor,13,right,2334,2370,B
I_00002357_00002384_frgp14,impostor,14,left,2357,2384,B
I_00002332_00002406_frgp13,impostor,13,right,2332,2406,B
I_00002372_00002425_frgp13,impostor,13,right,2372,2425,B
I_00002359_00002367_frgp14,impostor,14,left,2359,2367,B
I_00002315_00002339_frgp13,impostor,13,right,2315,2339,B
I_00002306_00002326_frgp13,impostor,13,right,2306,2326,B
I_00002374_00002394_frgp13,impostor,13,right,2374,2394,B
I_00002348_00002425_frgp13,impostor,13,right,2348,2425,B
I_00002315_00002321_frgp13,impostor,13,right,2315,2321,B
I_00002342_00002351_frgp13,impostor,13,right,2342,2351,B
I_00002313_00002373_frgp13,impostor,13,right,2313,2373,B
G_2315_frgp14,genuine,14,left,2315,2315,A
I_00002306_00002360_frgp14,impostor,14,left,2306,2360,B
I_00002332_00002386_frgp13,impostor,13,right,2332,2386,B
I_00002392_00002455_frgp14,impostor,14,left,2392,2455,B
G_2374_frgp14,genuine,14,left,2374,2374,A
I_00002317_00002344_frgp13,impostor,13,right,2317,2344,B
I_00002384_00002405_frgp13,impostor,13,right,2384,2405,B
I_00002367_00002463_frgp14,impostor,14,left,2367,2463,B
I_00002303_00002334_frgp13,impostor,13,right,2303,2334,B
I_00002405_00002424_frgp14,impostor,14,left,2405,2424,B
I_00002355_00002408_frgp13,impostor,13,right,2355,2408,B
I_00002304_00002380_frgp13,impostor,13,right,2304,2380,B
I_00002398_00002399_frgp14,impostor,14,left,2398,2399,B
I_00002384_00002418_frgp14,impostor,14,left,2384,2418,B
I_00002321_00002369_frgp13,impostor,13,right,2321,2369,B
I_00002332_00002394_frgp14,impostor,14,left,2332,2394,B
I_00002320_00002396_frgp13,impostor,13,right,2320,2396,B
I_00002398_00002481_frgp13,impostor,13,right,2398,2481,B
I_00002357_00002394_frgp14,impostor,14,left,2357,2394,B
I_00002352_00002481_frgp14,impostor,14,left,2352,2481,B
I_00002320_00002348_frgp14,impostor,14,left,2320,2348,B
I_00002401_00002463_frgp14,impostor,14,left,2401,2463,B
I_00002344_00002391_frgp14,impostor,14,left,2344,2391,B
I_00002320_00002359_frgp14,impostor,14,left,2320,2359,B
I_00002371_00002398_frgp13,impostor,13,right,2371,2398,B
I_00002337_00002391_frgp13,impostor,13,right,2337,2391,B
I_00002376_00002447_frgp13,impostor,13,right,2376,2447,B
I_00002338_00002372_frgp14,impostor,14,left,2338,2372,B
I_00002368_00002388_frgp14,impostor,14,left,2368,2388,B
I_00002364_00002384_frgp13,impostor,13,right,2364,2384,B
I_00002339_00002401_frgp13,impostor,13,right,2339,2401,B
I_00002304_00002384_frgp13,impostor,13,right,2304,2384,B
I_00002376_00002440_frgp14,impostor,14,left,2376,2440,B
I_00002373_00002408_frgp13,impostor,13,right,2373,2408,B
I_00002320_00002402_frgp14,impostor,14,left,2320,2402,B
I_00002407_00002415_frgp13,impostor,13,right,2407,2415,B
I_00002373_00002379_frgp14,impostor,14,left,2373,2379,B
I_00002342_00002405_frgp14,impostor,14,left,2342,2405,B
I_00002406_00002447_frgp13,impostor,13,right,2406,2447,B
I_00002303_00002370_frgp13,impostor,13,right,2303,2370,B
I_00002337_00002388_frgp13,impostor,13,right,2337,2388,B
I_00002325_00002386_frgp13,impostor,13,right,2325,2386,B
I_00002353_00002396_frgp13,impostor,13,right,2353,2396,B
I_00002379_00002408_frgp14,impostor,14,left,2379,2408,B
I_00002349_00002418_frgp14,impostor,14,left,2349,2418,B
I_00002341_00002370_frgp14,impostor,14,left,2341,2370,B
I_00002402_00002406_frgp14,impostor,14,left,2402,2406,B
I_00002360_00002398_frgp13,impostor,13,right,2360,2398,B
I_00002395_00002428_frgp13,impostor,13,right,2395,2428,B
I_00002315_00002357_frgp14,impostor,14,left,2315,2357,B
I_00002355_00002388_frgp13,impostor,13,right,2355,2388,B
I_00002315_00002330_frgp14,impostor,14,left,2315,2330,B
I_00002328_00002383_frgp13,impostor,13,right,2328,2383,B
I_00002367_00002369_frgp13,impostor,13,right,2367,2369,B
I_00002337_00002375_frgp13,impostor,13,right,2337,2375,B
I_00002340_00002413_frgp14,impostor,14,left,2340,2413,B
I_00002320_00002352_frgp14,impostor,14,left,2320,2352,B
I_00002349_00002372_frgp14,impostor,14,left,2349,2372,B
I_00002337_00002351_frgp13,impostor,13,right,2337,2351,B
I_00002370_00002424_frgp13,impostor,13,right,2370,2424,B
I_00002312_00002321_frgp13,impostor,13,right,2312,2321,B
I_00002362_00002395_frgp14,impostor,14,left,2362,2395,B
I_00002314_00002423_frgp14,impostor,14,left,2314,2423,B
I_00002313_00002447_frgp14,impostor,14,left,2313,2447,B
I_00002383_00002388_frgp13,impostor,13,right,2383,2388,B
I_00002381_00002391_frgp13,impostor,13,right,2381,2391,B
I_00002315_00002413_frgp13,impostor,13,right,2315,2413,B
I_00002357_00002409_frgp13,impostor,13,right,2357,2409,B
I_00002358_00002455_frgp13,impostor,13,right,2358,2455,B
I_00002362_00002398_frgp14,impostor,14,left,2362,2398,B
I_00002314_00002373_frgp14,impostor,14,left,2314,2373,B
I_00002303_00002351_frgp14,impostor,14,left,2303,2351,B
I_00002303_00002392_frgp14,impostor,14,left,2303,2392,B
I_00002319_00002395_frgp13,impostor,13,right,2319,2395,B
I_00002314_00002326_frgp13,impostor,13,right,2314,2326,B
I_00002358_00002405_frgp13,impostor,13,right,2358,2405,B
I_00002372_00002463_frgp14,impostor,14,left,2372,2463,B
I_00002315_00002332_frgp14,impostor,14,left,2315,2332,B
I_00002376_00002383_frgp13,impostor,13,right,2376,2383,B
I_00002307_00002355_frgp13,impostor,13,right,2307,2355,B
I_00002317_00002371_frgp13,impostor,13,right,2317,2371,B
I_00002352_00002383_frgp13,impostor,13,right,2352,2383,B
I_00002360_00002367_frgp14,impostor,14,left,2360,2367,B
I_00002358_00002412_frgp14,impostor,14,left,2358,2412,B
I_00002371_00002407_frgp14,impostor,14,left,2371,2407,B
I_00002319_00002369_frgp14,impostor,14,left,2319,2369,B
I_00002386_00002423_frgp14,impostor,14,left,2386,2423,B
I_00002356_00002440_frgp14,impostor,14,left,2356,2440,B
I_00002326_00002360_frgp13,impostor,13,right,2326,2360,B
I_00002306_00002312_frgp14,impostor,14,left,2306,2312,B
I_00002317_00002418_frgp14,impostor,14,left,2317,2418,B
I_00002338_00002339_frgp13,impostor,13,right,2338,2339,B
I_00002409_00002423_frgp14,impostor,14,left,2409,2423,B
I_00002332_00002424_frgp14,impostor,14,left,2332,2424,B
I_00002341_00002379_frgp14,impostor,14,left,2341,2379,B
I_00002325_00002358_frgp14,impostor,14,left,2325,2358,B
I_00002332_00002375_frgp14,impostor,14,left,2332,2375,B
I_00002360_00002406_frgp14,impostor,14,left,2360,2406,B
I_00002307_00002349_frgp14,impostor,14,left,2307,2349,B
I_00002319_00002348_frgp13,impostor,13,right,2319,2348,B
I_00002312_00002327_frgp14,impostor,14,left,2312,2327,B
I_00002359_00002462_frgp13,impostor,13,right,2359,2462,B
I_00002395_00002462_frgp14,impostor,14,left,2395,2462,B
I_00002317_00002481_frgp14,impostor,14,left,2317,2481,B
I_00002332_00002407_frgp14,impostor,14,left,2332,2407,B
I_00002321_00002392_frgp14,impostor,14,left,2321,2392,B
I_00002383_00002428_frgp13,impostor,13,right,2383,2428,B
I_00002315_00002359_frgp14,impostor,14,left,2315,2359,B
I_00002338_00002415_frgp13,impostor,13,right,2338,2415,B
I_00002329_00002362_frgp13,impostor,13,right,2329,2362,B
I_00002303_00002386_frgp13,impostor,13,right,2303,2386,B
I_00002332_00002352_frgp13,impostor,13,right,2332,2352,B
I_00002440_00002463_frgp14,impostor,14,left,2440,2463,B
I_00002328_00002379_frgp13,impostor,13,right,2328,2379,B
I_00002307_00002462_frgp14,impostor,14,left,2307,2462,B
I_00002394_00002455_frgp14,impostor,14,left,2394,2455,B
