pair_id,label,category,device_pair,img1_path,img2_path
I_00002330_00002334_frgp14,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002334_R_500_slap_14.png
I_00002304_00002338_frgp13,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002338_R_500_slap_13.png
G_2312_frgp14,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002312_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002312_R_1000_slap_14.png
G_2379_frgp13,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002379_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002379_R_1000_slap_13.png
G_2373_frgp14,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002373_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002373_R_1000_slap_14.png
G_2355_frgp13,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002355_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002355_R_1000_slap_13.png
G_2423_frgp14,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002423_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002423_R_1000_slap_14.png
G_2307_frgp14,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002307_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002307_R_1000_slap_14.png
I_00002330_00002373_frgp14,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002373_R_500_slap_14.png
G_2362_frgp14,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002362_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002362_R_1000_slap_14.png
I_00002304_00002408_frgp13,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002408_R_500_slap_13.png
I_00002304_00002426_frgp13,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002426_R_500_slap_13.png
I_00002304_00002406_frgp13,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002406_R_500_slap_13.png
G_2428_frgp13,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002428_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002428_R_1000_slap_13.png
I_00002330_00002384_frgp14,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002384_R_500_slap_14.png
I_00002304_00002481_frgp13,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002481_R_500_slap_13.png
G_2327_frgp13,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002327_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002327_R_1000_slap_13.png
I_00002330_00002455_frgp14,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002455_R_500_slap_14.png
G_2320_frgp14,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002320_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002320_R_1000_slap_14.png
I_00002304_00002384_frgp13,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002384_R_500_slap_13.png
G_2371_frgp14,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002371_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002371_R_1000_slap_14.png
I_00002330_00002351_frgp14,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002351_R_500_slap_14.png
G_2360_frgp14,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002360_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002360_R_1000_slap_14.png
G_2368_frgp13,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002368_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002368_R_1000_slap_13.png
G_2413_frgp13,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002413_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002413_R_1000_slap_13.png
I_00002330_00002359_frgp14,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002359_R_500_slap_14.png
G_2408_frgp13,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002408_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002408_R_1000_slap_13.png
G_2321_frgp13,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002321_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002321_R_1000_slap_13.png
I_00002304_00002359_frgp13,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002359_R_500_slap_13.png
G_2330_frgp13,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002330_R_1000_slap_13.png
G_2326_frgp14,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002326_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002326_R_1000_slap_14.png
