pair_id,label,frgp,which_hand,subject1,subject2,ground_truth,similarity_score,raw_response,latency_s,model,prompting_setting,timestamp
G_2394_frgp13,genuine,13,right,00002394,00002394,A,100,100,0.336,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:23
I_00002330_00002326_frgp14,impostor,14,left,00002330,00002326,B,65,65,0.24,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:23
G_2462_frgp13,genuine,13,right,00002462,00002462,A,100,100,0.332,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:23
G_2384_frgp14,genuine,14,left,00002384,00002384,A,100,100,0.341,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:24
I_00002330_00002412_frgp14,impostor,14,left,00002330,00002412,B,65,65,0.241,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:24
G_2353_frgp13,genuine,13,right,00002353,00002353,A,100,100,0.337,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:24
I_00002304_00002348_frgp13,impostor,13,right,00002304,00002348,B,45,45,0.239,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:24
G_2375_frgp13,genuine,13,right,00002375,00002375,A,100,100,0.335,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:25
G_2407_frgp14,genuine,14,left,00002407,00002407,A,100,100,0.345,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:25
I_00002304_00002412_frgp13,impostor,13,right,00002304,00002412,B,65,65,0.24,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:25
I_00002330_00002371_frgp14,impostor,14,left,00002330,00002371,B,65,65,0.241,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:26
G_2440_frgp14,genuine,14,left,00002440,00002440,A,85,85,0.316,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:26
G_2332_frgp14,genuine,14,left,00002332,00002332,A,100,100,0.336,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:26
I_00002330_00002481_frgp14,impostor,14,left,00002330,00002481,B,65,65,0.242,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:26
I_00002330_00002312_frgp14,impostor,14,left,00002330,00002312,B,65,65,0.241,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:27
I_00002330_00002383_frgp14,impostor,14,left,00002330,00002383,B,65,65,0.241,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:27
G_2342_frgp13,genuine,13,right,00002342,00002342,A,100,100,0.336,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:27
G_2401_frgp14,genuine,14,left,00002401,00002401,A,100,100,0.346,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:28
G_2326_frgp13,genuine,13,right,00002326,00002326,A,85,85,0.331,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:28
I_00002304_00002424_frgp13,impostor,13,right,00002304,00002424,B,65,65,0.243,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:28
G_2313_frgp13,genuine,13,right,00002313,00002313,A,95,95,0.329,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:29
G_2369_frgp14,genuine,14,left,00002369,00002369,A,100,100,0.35,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:29
I_00002304_00002306_frgp13,impostor,13,right,00002304,00002306,B,65,65,0.239,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:29
G_2415_frgp14,genuine,14,left,00002415,00002415,A,95,95,0.324,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:29
G_2425_frgp13,genuine,13,right,00002425,00002425,A,100,100,0.342,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:30
I_00002304_00002398_frgp13,impostor,13,right,00002304,00002398,B,65,65,0.241,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:30
G_2409_frgp13,genuine,13,right,00002409,00002409,A,85,85,0.326,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:30
I_00002330_00002394_frgp14,impostor,14,left,00002330,00002394,B,65,65,0.243,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:31
I_00002304_00002376_frgp13,impostor,13,right,00002304,00002376,B,65,65,0.243,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:31
I_00002304_00002339_frgp13,impostor,13,right,00002304,00002339,B,65,65,0.238,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:31
G_2338_frgp14,genuine,14,left,00002338,00002338,A,85,85,0.325,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:31
I_00002304_00002337_frgp13,impostor,13,right,00002304,00002337,B,65,65,0.242,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:32
I_00002304_00002321_frgp13,impostor,13,right,00002304,00002321,B,65,65,0.241,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:32
G_2386_frgp13,genuine,13,right,00002386,00002386,A,85,85,0.324,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:32
I_00002330_00002310_frgp14,impostor,14,left,00002330,00002310,B,65,65,0.243,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:32
I_00002304_00002326_frgp13,impostor,13,right,00002304,00002326,B,65,65,0.247,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:33
I_00002304_00002315_frgp13,impostor,13,right,00002304,00002315,B,65,65,0.245,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:33
I_00002330_00002356_frgp14,impostor,14,left,00002330,00002356,B,65,65,0.244,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:33
G_2359_frgp14,genuine,14,left,00002359,00002359,A,100,100,0.348,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:34
G_2383_frgp14,genuine,14,left,00002383,00002383,A,100,100,0.339,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:34
I_00002330_00002314_frgp14,impostor,14,left,00002330,00002314,B,85,85,0.24,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:34
I_00002330_00002306_frgp14,impostor,14,left,00002330,00002306,B,65,65,0.24,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:34
G_2367_frgp13,genuine,13,right,00002367,00002367,A,100,100,0.343,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:35
G_2380_frgp14,genuine,14,left,00002380,00002380,A,100,100,0.337,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:35
I_00002330_00002406_frgp14,impostor,14,left,00002330,00002406,B,65,65,0.243,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:35
I_00002330_00002334_frgp14,impostor,14,left,00002330,00002334,B,65,65,0.241,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:36
I_00002304_00002338_frgp13,impostor,13,right,00002304,00002338,B,65,65,0.244,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:36
G_2312_frgp14,genuine,14,left,00002312,00002312,A,100,100,0.343,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:36
G_2379_frgp13,genuine,13,right,00002379,00002379,A,100,100,0.348,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:36
G_2373_frgp14,genuine,14,left,00002373,00002373,A,100,100,0.345,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:37
G_2355_frgp13,genuine,13,right,00002355,00002355,A,95,95,0.324,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:37
G_2423_frgp14,genuine,14,left,00002423,00002423,A,95,95,0.324,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:37
G_2307_frgp14,genuine,14,left,00002307,00002307,A,95,95,0.326,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:38
I_00002330_00002373_frgp14,impostor,14,left,00002330,00002373,B,35,35,0.243,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:38
G_2362_frgp14,genuine,14,left,00002362,00002362,A,100,100,0.345,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:38
I_00002304_00002408_frgp13,impostor,13,right,00002304,00002408,B,65,65,0.246,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:39
I_00002304_00002426_frgp13,impostor,13,right,00002304,00002426,B,65,65,0.246,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:39
I_00002304_00002406_frgp13,impostor,13,right,00002304,00002406,B,65,65,0.249,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:39
G_2428_frgp13,genuine,13,right,00002428,00002428,A,95,95,0.329,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:39
I_00002330_00002384_frgp14,impostor,14,left,00002330,00002384,B,65,65,0.242,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:40
I_00002304_00002481_frgp13,impostor,13,right,00002304,00002481,B,65,65,0.244,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:40
G_2327_frgp13,genuine,13,right,00002327,00002327,A,85,85,0.323,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:40
I_00002330_00002455_frgp14,impostor,14,left,00002330,00002455,B,65,65,0.243,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:41
G_2320_frgp14,genuine,14,left,00002320,00002320,A,85,85,0.325,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:41
I_00002304_00002384_frgp13,impostor,13,right,00002304,00002384,B,65,65,0.244,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:41
G_2371_frgp14,genuine,14,left,00002371,00002371,A,95,95,0.334,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:41
I_00002330_00002351_frgp14,impostor,14,left,00002330,00002351,B,65,65,0.243,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:42
G_2360_frgp14,genuine,14,left,00002360,00002360,A,95,95,0.328,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:42
G_2368_frgp13,genuine,13,right,00002368,00002368,A,100,100,0.346,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:42
G_2413_frgp13,genuine,13,right,00002413,00002413,A,100,100,0.346,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:43
I_00002330_00002359_frgp14,impostor,14,left,00002330,00002359,B,45,45,0.244,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:43
G_2408_frgp13,genuine,13,right,00002408,00002408,A,100,100,0.34,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:43
G_2321_frgp13,genuine,13,right,00002321,00002321,A,85,85,0.326,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:44
I_00002304_00002359_frgp13,impostor,13,right,00002304,00002359,B,65,65,0.242,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:44
G_2330_frgp13,genuine,13,right,00002330,00002330,A,100,100,0.337,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:44
G_2326_frgp14,genuine,14,left,00002326,00002326,A,100,100,0.347,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:45
I_00002330_00002402_frgp14,impostor,14,left,00002330,00002402,B,45,45,0.245,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:45
I_00002304_00002342_frgp13,impostor,13,right,00002304,00002342,B,65,65,0.242,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:45
G_2362_frgp13,genuine,13,right,00002362,00002362,A,85,85,0.323,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:45
G_2408_frgp14,genuine,14,left,00002408,00002408,A,95,95,0.325,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:46
I_00002330_00002391_frgp14,impostor,14,left,00002330,00002391,B,65,65,0.239,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:46
G_2386_frgp14,genuine,14,left,00002386,00002386,A,100,100,0.35,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:46
G_2426_frgp14,genuine,14,left,00002426,00002426,A,100,100,0.343,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:47
G_2328_frgp14,genuine,14,left,00002328,00002328,A,100,100,0.341,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:47
I_00002330_00002369_frgp14,impostor,14,left,00002330,00002369,B,65,65,0.245,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:47
I_00002330_00002398_frgp14,impostor,14,left,00002330,00002398,B,85,85,0.244,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:47
G_2396_frgp14,genuine,14,left,00002396,00002396,A,100,100,0.356,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:48
G_2423_frgp13,genuine,13,right,00002423,00002423,A,100,100,0.34,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:48
I_00002330_00002325_frgp14,impostor,14,left,00002330,00002325,B,65,65,0.243,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:48
I_00002330_00002367_frgp14,impostor,14,left,00002330,00002367,B,65,65,0.243,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:49
I_00002304_00002395_frgp13,impostor,13,right,00002304,00002395,B,65,65,0.241,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:49
I_00002330_00002315_frgp14,impostor,14,left,00002330,00002315,B,85,85,0.241,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:49
I_00002330_00002380_frgp14,impostor,14,left,00002330,00002380,B,65,65,0.243,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:49
G_2399_frgp13,genuine,13,right,00002399,00002399,A,100,100,0.348,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:50
I_00002330_00002358_frgp14,impostor,14,left,00002330,00002358,B,65,65,0.245,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:50
I_00002304_00002344_frgp13,impostor,13,right,00002304,00002344,B,75,75,0.245,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:50
G_2455_frgp13,genuine,13,right,00002455,00002455,A,85,85,0.324,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:50
I_00002304_00002358_frgp13,impostor,13,right,00002304,00002358,B,65,65,0.243,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:51
I_00002330_00002372_frgp14,impostor,14,left,00002330,00002372,B,65,65,0.24,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:51
G_2320_frgp13,genuine,13,right,00002320,00002320,A,100,100,0.337,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:51
I_00002330_00002304_frgp14,impostor,14,left,00002330,00002304,B,65,65,0.243,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:52
G_2409_frgp14,genuine,14,left,00002409,00002409,A,100,100,0.341,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:52
I_00002304_00002332_frgp13,impostor,13,right,00002304,00002332,B,65,65,0.242,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:52
G_2314_frgp13,genuine,13,right,00002314,00002314,A,100,100,0.332,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:52
G_2374_frgp14,genuine,14,left,00002374,00002374,A,100,100,0.345,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:53
G_2349_frgp13,genuine,13,right,00002349,00002349,A,100,100,0.365,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:53
G_2352_frgp14,genuine,14,left,00002352,00002352,A,100,100,0.348,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:54
G_2425_frgp14,genuine,14,left,00002425,00002425,A,100,100,0.346,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:54
I_00002330_00002374_frgp14,impostor,14,left,00002330,00002374,B,65,65,0.244,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:54
G_2455_frgp14,genuine,14,left,00002455,00002455,A,85,85,0.321,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:54
G_2321_frgp14,genuine,14,left,00002321,00002321,A,100,100,0.347,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:55
G_2424_frgp14,genuine,14,left,00002424,00002424,A,100,100,0.345,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:55
G_2447_frgp14,genuine,14,left,00002447,00002447,A,100,100,0.344,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:55
G_2303_frgp13,genuine,13,right,00002303,00002303,A,100,100,0.352,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:56
G_2319_frgp14,genuine,14,left,00002319,00002319,A,85,85,0.326,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:56
I_00002304_00002380_frgp13,impostor,13,right,00002304,00002380,B,65,65,0.248,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:56
I_00002304_00002399_frgp13,impostor,13,right,00002304,00002399,B,65,65,0.248,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:57
G_2388_frgp14,genuine,14,left,00002388,00002388,A,100,100,0.345,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:57
G_2481_frgp13,genuine,13,right,00002481,00002481,A,100,100,0.346,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:57
I_00002304_00002388_frgp13,impostor,13,right,00002304,00002388,B,65,65,0.245,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:58
G_2310_frgp14,genuine,14,left,00002310,00002310,A,95,95,0.325,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:58
I_00002330_00002386_frgp14,impostor,14,left,00002330,00002386,B,65,65,0.246,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:58
I_00002304_00002372_frgp13,impostor,13,right,00002304,00002372,B,65,65,0.243,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:58
I_00002304_00002314_frgp13,impostor,13,right,00002304,00002314,B,65,65,0.246,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:59
G_2355_frgp14,genuine,14,left,00002355,00002355,A,95,95,0.327,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:59
I_00002304_00002303_frgp13,impostor,13,right,00002304,00002303,B,65,65,0.247,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:59
I_00002330_00002407_frgp14,impostor,14,left,00002330,00002407,B,65,65,0.246,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:15:59
G_2358_frgp14,genuine,14,left,00002358,00002358,A,100,100,0.345,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:00
I_00002304_00002402_frgp13,impostor,13,right,00002304,00002402,B,65,65,0.242,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:00
G_2351_frgp14,genuine,14,left,00002351,00002351,A,100,100,0.336,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:00
I_00002330_00002327_frgp14,impostor,14,left,00002330,00002327,B,85,85,0.242,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:01
I_00002304_00002440_frgp13,impostor,13,right,00002304,00002440,B,65,65,0.242,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:01
G_2374_frgp13,genuine,13,right,00002374,00002374,A,100,100,0.341,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:01
G_2306_frgp14,genuine,14,left,00002306,00002306,A,100,100,0.34,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:02
G_2372_frgp13,genuine,13,right,00002372,00002372,A,85,85,0.321,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:02
G_2407_frgp13,genuine,13,right,00002407,00002407,A,100,100,0.348,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:02
I_00002330_00002401_frgp14,impostor,14,left,00002330,00002401,B,65,65,0.243,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:02
I_00002330_00002463_frgp14,impostor,14,left,00002330,00002463,B,65,65,0.244,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:03
G_2348_frgp14,genuine,14,left,00002348,00002348,A,100,100,0.341,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:03
G_2319_frgp13,genuine,13,right,00002319,00002319,A,100,100,0.337,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:03
G_2315_frgp13,genuine,13,right,00002315,00002315,A,100,100,0.339,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:04
G_2307_frgp13,genuine,13,right,00002307,00002307,A,100,100,0.345,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:04
I_00002304_00002330_frgp13,impostor,13,right,00002304,00002330,B,65,65,0.245,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:04
I_00002304_00002423_frgp13,impostor,13,right,00002304,00002423,B,65,65,0.243,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:05
G_2344_frgp13,genuine,13,right,00002344,00002344,A,100,100,0.343,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:05
I_00002330_00002342_frgp14,impostor,14,left,00002330,00002342,B,65,65,0.243,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:05
G_2306_frgp13,genuine,13,right,00002306,00002306,A,100,100,0.348,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:05
I_00002330_00002320_frgp14,impostor,14,left,00002330,00002320,B,85,85,0.242,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:06
G_2395_frgp14,genuine,14,left,00002395,00002395,A,95,95,0.322,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:06
I_00002330_00002303_frgp14,impostor,14,left,00002330,00002303,B,85,85,0.243,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:06
G_2357_frgp14,genuine,14,left,00002357,00002357,A,100,100,0.348,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:07
I_00002330_00002328_frgp14,impostor,14,left,00002330,00002328,B,65,65,0.246,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:07
I_00002304_00002375_frgp13,impostor,13,right,00002304,00002375,B,65,65,0.24,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:07
I_00002330_00002353_frgp14,impostor,14,left,00002330,00002353,B,65,65,0.239,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:07
I_00002304_00002356_frgp13,impostor,13,right,00002304,00002356,B,45,45,0.244,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:08
G_2303_frgp14,genuine,14,left,00002303,00002303,A,100,100,0.342,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:08
G_2341_frgp14,genuine,14,left,00002341,00002341,A,100,100,0.336,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:08
I_00002330_00002321_frgp14,impostor,14,left,00002330,00002321,B,85,85,0.243,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:09
I_00002330_00002344_frgp14,impostor,14,left,00002330,00002344,B,65,65,0.245,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:09
G_2424_frgp13,genuine,13,right,00002424,00002424,A,100,100,0.341,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:09
G_2330_frgp14,genuine,14,left,00002330,00002330,A,100,100,0.342,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:09
G_2353_frgp14,genuine,14,left,00002353,00002353,A,95,95,0.317,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:10
I_00002304_00002418_frgp13,impostor,13,right,00002304,00002418,B,65,65,0.24,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:10
G_2376_frgp14,genuine,14,left,00002376,00002376,A,100,100,0.357,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:10
G_2415_frgp13,genuine,13,right,00002415,00002415,A,100,100,0.349,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:11
I_00002304_00002374_frgp13,impostor,13,right,00002304,00002374,B,65,65,0.245,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:11
I_00002330_00002403_frgp14,impostor,14,left,00002330,00002403,B,35,35,0.243,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:11
G_2328_frgp13,genuine,13,right,00002328,00002328,A,95,95,0.329,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:12
I_00002330_00002307_frgp14,impostor,14,left,00002330,00002307,B,75,75,0.243,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:12
I_00002304_00002401_frgp13,impostor,13,right,00002304,00002401,B,45,45,0.249,Qwen3-VL-8B-Instruct,similarity_score,2026-05-24T23:16:12
