pair_id,label,frgp,which_hand,subject1,subject2,ground_truth,similarity_score,raw_response,res1,res2,latency_s,model,prompting_setting,timestamp
G_2332_frgp13,genuine,13,right,2332,2332,A,100,100,1000,500,0.403,qwen3vl,similarity_score,2026-07-06T23:04:04
G_2334_frgp13,genuine,13,right,2334,2334,A,100,100,1000,500,0.399,qwen3vl,similarity_score,2026-07-06T23:04:04
G_2337_frgp13,genuine,13,right,2337,2337,A,100,100,1000,500,0.402,qwen3vl,similarity_score,2026-07-06T23:04:05
G_2338_frgp13,genuine,13,right,2338,2338,A,100,100,1000,500,0.406,qwen3vl,similarity_score,2026-07-06T23:04:05
G_2339_frgp13,genuine,13,right,2339,2339,A,100,100,1000,500,0.401,qwen3vl,similarity_score,2026-07-06T23:04:05
G_2340_frgp13,genuine,13,right,2340,2340,A,100,100,1000,500,0.401,qwen3vl,similarity_score,2026-07-06T23:04:06
G_2341_frgp13,genuine,13,right,2341,2341,A,100,100,1000,500,0.399,qwen3vl,similarity_score,2026-07-06T23:04:06
G_2342_frgp13,genuine,13,right,2342,2342,A,100,100,1000,500,0.398,qwen3vl,similarity_score,2026-07-06T23:04:07
G_2344_frgp13,genuine,13,right,2344,2344,A,100,100,1000,500,0.4,qwen3vl,similarity_score,2026-07-06T23:04:07
G_2348_frgp13,genuine,13,right,2348,2348,A,100,100,1000,500,0.398,qwen3vl,similarity_score,2026-07-06T23:04:07
G_2349_frgp13,genuine,13,right,2349,2349,A,100,100,1000,500,0.423,qwen3vl,similarity_score,2026-07-06T23:04:08
G_2351_frgp13,genuine,13,right,2351,2351,A,100,100,1000,500,0.394,qwen3vl,similarity_score,2026-07-06T23:04:08
G_2352_frgp13,genuine,13,right,2352,2352,A,100,100,1000,500,0.403,qwen3vl,similarity_score,2026-07-06T23:04:09
G_2353_frgp13,genuine,13,right,2353,2353,A,100,100,1000,500,0.397,qwen3vl,similarity_score,2026-07-06T23:04:09
G_2355_frgp13,genuine,13,right,2355,2355,A,100,100,1000,500,0.401,qwen3vl,similarity_score,2026-07-06T23:04:09
G_2356_frgp13,genuine,13,right,2356,2356,A,100,100,1000,500,0.407,qwen3vl,similarity_score,2026-07-06T23:04:10
G_2357_frgp13,genuine,13,right,2357,2357,A,100,100,1000,500,0.407,qwen3vl,similarity_score,2026-07-06T23:04:10
G_2358_frgp13,genuine,13,right,2358,2358,A,100,100,1000,500,0.397,qwen3vl,similarity_score,2026-07-06T23:04:11
G_2359_frgp13,genuine,13,right,2359,2359,A,100,100,1000,500,0.409,qwen3vl,similarity_score,2026-07-06T23:04:11
G_2360_frgp13,genuine,13,right,2360,2360,A,100,100,1000,500,0.404,qwen3vl,similarity_score,2026-07-06T23:04:11
G_2362_frgp13,genuine,13,right,2362,2362,A,100,100,1000,500,0.402,qwen3vl,similarity_score,2026-07-06T23:04:12
G_2364_frgp13,genuine,13,right,2364,2364,A,100,100,1000,500,0.395,qwen3vl,similarity_score,2026-07-06T23:04:12
G_2367_frgp13,genuine,13,right,2367,2367,A,100,100,1000,500,0.402,qwen3vl,similarity_score,2026-07-06T23:04:13
G_2368_frgp13,genuine,13,right,2368,2368,A,100,100,1000,500,0.399,qwen3vl,similarity_score,2026-07-06T23:04:13
G_2369_frgp13,genuine,13,right,2369,2369,A,100,100,1000,500,0.399,qwen3vl,similarity_score,2026-07-06T23:04:13
G_2370_frgp13,genuine,13,right,2370,2370,A,100,100,1000,500,0.398,qwen3vl,similarity_score,2026-07-06T23:04:14
G_2371_frgp13,genuine,13,right,2371,2371,A,100,100,1000,500,0.4,qwen3vl,similarity_score,2026-07-06T23:04:14
G_2372_frgp13,genuine,13,right,2372,2372,A,100,100,1000,500,0.396,qwen3vl,similarity_score,2026-07-06T23:04:15
G_2373_frgp13,genuine,13,right,2373,2373,A,100,100,1000,500,0.403,qwen3vl,similarity_score,2026-07-06T23:04:15
G_2374_frgp13,genuine,13,right,2374,2374,A,100,100,1000,500,0.405,qwen3vl,similarity_score,2026-07-06T23:04:15
G_2375_frgp13,genuine,13,right,2375,2375,A,100,100,1000,500,0.399,qwen3vl,similarity_score,2026-07-06T23:04:16
G_2376_frgp13,genuine,13,right,2376,2376,A,100,100,1000,500,0.407,qwen3vl,similarity_score,2026-07-06T23:04:16
G_2379_frgp13,genuine,13,right,2379,2379,A,100,100,1000,500,0.4,qwen3vl,similarity_score,2026-07-06T23:04:17
G_2380_frgp13,genuine,13,right,2380,2380,A,100,100,1000,500,0.396,qwen3vl,similarity_score,2026-07-06T23:04:17
G_2381_frgp13,genuine,13,right,2381,2381,A,100,100,1000,500,0.402,qwen3vl,similarity_score,2026-07-06T23:04:17
G_2383_frgp13,genuine,13,right,2383,2383,A,100,100,1000,500,0.399,qwen3vl,similarity_score,2026-07-06T23:04:18
G_2384_frgp13,genuine,13,right,2384,2384,A,100,100,1000,500,0.401,qwen3vl,similarity_score,2026-07-06T23:04:18
G_2386_frgp13,genuine,13,right,2386,2386,A,100,100,1000,500,0.402,qwen3vl,similarity_score,2026-07-06T23:04:19
G_2388_frgp13,genuine,13,right,2388,2388,A,100,100,1000,500,0.399,qwen3vl,similarity_score,2026-07-06T23:04:19
G_2391_frgp13,genuine,13,right,2391,2391,A,100,100,1000,500,0.404,qwen3vl,similarity_score,2026-07-06T23:04:19
G_2392_frgp13,genuine,13,right,2392,2392,A,100,100,1000,500,0.402,qwen3vl,similarity_score,2026-07-06T23:04:20
G_2394_frgp13,genuine,13,right,2394,2394,A,100,100,1000,500,0.395,qwen3vl,similarity_score,2026-07-06T23:04:20
G_2395_frgp13,genuine,13,right,2395,2395,A,100,100,1000,500,0.396,qwen3vl,similarity_score,2026-07-06T23:04:21
G_2396_frgp13,genuine,13,right,2396,2396,A,100,100,1000,500,0.402,qwen3vl,similarity_score,2026-07-06T23:04:21
G_2398_frgp13,genuine,13,right,2398,2398,A,100,100,1000,500,0.4,qwen3vl,similarity_score,2026-07-06T23:04:21
G_2399_frgp13,genuine,13,right,2399,2399,A,100,100,1000,500,0.403,qwen3vl,similarity_score,2026-07-06T23:04:22
G_2401_frgp13,genuine,13,right,2401,2401,A,100,100,1000,500,0.405,qwen3vl,similarity_score,2026-07-06T23:04:22
G_2402_frgp13,genuine,13,right,2402,2402,A,100,100,1000,500,0.406,qwen3vl,similarity_score,2026-07-06T23:04:23
G_2403_frgp13,genuine,13,right,2403,2403,A,100,100,1000,500,0.4,qwen3vl,similarity_score,2026-07-06T23:04:23
G_2405_frgp13,genuine,13,right,2405,2405,A,100,100,1000,500,0.395,qwen3vl,similarity_score,2026-07-06T23:04:23
G_2406_frgp13,genuine,13,right,2406,2406,A,100,100,1000,500,0.397,qwen3vl,similarity_score,2026-07-06T23:04:24
G_2407_frgp13,genuine,13,right,2407,2407,A,100,100,1000,500,0.407,qwen3vl,similarity_score,2026-07-06T23:04:24
G_2408_frgp13,genuine,13,right,2408,2408,A,100,100,1000,500,0.395,qwen3vl,similarity_score,2026-07-06T23:04:25
G_2409_frgp13,genuine,13,right,2409,2409,A,100,100,1000,500,0.398,qwen3vl,similarity_score,2026-07-06T23:04:25
G_2412_frgp13,genuine,13,right,2412,2412,A,100,100,1000,500,0.399,qwen3vl,similarity_score,2026-07-06T23:04:25
G_2413_frgp13,genuine,13,right,2413,2413,A,100,100,1000,500,0.402,qwen3vl,similarity_score,2026-07-06T23:04:26
G_2415_frgp13,genuine,13,right,2415,2415,A,100,100,1000,500,0.404,qwen3vl,similarity_score,2026-07-06T23:04:26
G_2418_frgp13,genuine,13,right,2418,2418,A,100,100,1000,500,0.398,qwen3vl,similarity_score,2026-07-06T23:04:27
G_2423_frgp13,genuine,13,right,2423,2423,A,100,100,1000,500,0.393,qwen3vl,similarity_score,2026-07-06T23:04:27
G_2424_frgp13,genuine,13,right,2424,2424,A,100,100,1000,500,0.39,qwen3vl,similarity_score,2026-07-06T23:04:27
G_2425_frgp13,genuine,13,right,2425,2425,A,100,100,1000,500,0.416,qwen3vl,similarity_score,2026-07-06T23:04:28
G_2426_frgp13,genuine,13,right,2426,2426,A,100,100,1000,500,0.415,qwen3vl,similarity_score,2026-07-06T23:04:28
G_2428_frgp13,genuine,13,right,2428,2428,A,100,100,1000,500,0.399,qwen3vl,similarity_score,2026-07-06T23:04:29
G_2440_frgp13,genuine,13,right,2440,2440,A,100,100,1000,500,0.395,qwen3vl,similarity_score,2026-07-06T23:04:29
G_2447_frgp13,genuine,13,right,2447,2447,A,100,100,1000,500,0.403,qwen3vl,similarity_score,2026-07-06T23:04:29
G_2455_frgp13,genuine,13,right,2455,2455,A,100,100,1000,500,0.396,qwen3vl,similarity_score,2026-07-06T23:04:30
G_2462_frgp13,genuine,13,right,2462,2462,A,100,100,1000,500,0.395,qwen3vl,similarity_score,2026-07-06T23:04:30
G_2463_frgp13,genuine,13,right,2463,2463,A,100,100,1000,500,0.397,qwen3vl,similarity_score,2026-07-06T23:04:31
G_2481_frgp13,genuine,13,right,2481,2481,A,100,100,1000,500,0.399,qwen3vl,similarity_score,2026-07-06T23:04:31
I_2303_2304_frgp13,impostor,13,right,2303,2304,B,65,65,1000,500,0.381,qwen3vl,similarity_score,2026-07-06T23:04:31
I_2303_2306_frgp13,impostor,13,right,2303,2306,B,65,65,1000,500,0.382,qwen3vl,similarity_score,2026-07-06T23:04:32
I_2303_2307_frgp13,impostor,13,right,2303,2307,B,85,85,1000,500,0.379,qwen3vl,similarity_score,2026-07-06T23:04:32
I_2303_2310_frgp13,impostor,13,right,2303,2310,B,65,65,1000,500,0.38,qwen3vl,similarity_score,2026-07-06T23:04:33
I_2303_2312_frgp13,impostor,13,right,2303,2312,B,65,65,1000,500,0.381,qwen3vl,similarity_score,2026-07-06T23:04:33
I_2303_2313_frgp13,impostor,13,right,2303,2313,B,65,65,1000,500,0.383,qwen3vl,similarity_score,2026-07-06T23:04:33
I_2303_2314_frgp13,impostor,13,right,2303,2314,B,85,85,1000,500,0.383,qwen3vl,similarity_score,2026-07-06T23:04:34
I_2303_2315_frgp13,impostor,13,right,2303,2315,B,65,65,1000,500,0.381,qwen3vl,similarity_score,2026-07-06T23:04:34
I_2303_2317_frgp13,impostor,13,right,2303,2317,B,65,65,1000,500,0.384,qwen3vl,similarity_score,2026-07-06T23:04:34
I_2303_2319_frgp13,impostor,13,right,2303,2319,B,65,65,1000,500,0.382,qwen3vl,similarity_score,2026-07-06T23:04:35
I_2303_2320_frgp13,impostor,13,right,2303,2320,B,65,65,1000,500,0.381,qwen3vl,similarity_score,2026-07-06T23:04:35
I_2303_2321_frgp13,impostor,13,right,2303,2321,B,65,65,1000,500,0.383,qwen3vl,similarity_score,2026-07-06T23:04:36
I_2303_2325_frgp13,impostor,13,right,2303,2325,B,65,65,1000,500,0.381,qwen3vl,similarity_score,2026-07-06T23:04:36
I_2303_2326_frgp13,impostor,13,right,2303,2326,B,65,65,1000,500,0.383,qwen3vl,similarity_score,2026-07-06T23:04:36
I_2303_2327_frgp13,impostor,13,right,2303,2327,B,65,65,1000,500,0.382,qwen3vl,similarity_score,2026-07-06T23:04:37
I_2303_2328_frgp13,impostor,13,right,2303,2328,B,65,65,1000,500,0.38,qwen3vl,similarity_score,2026-07-06T23:04:37
I_2303_2329_frgp13,impostor,13,right,2303,2329,B,65,65,1000,500,0.38,qwen3vl,similarity_score,2026-07-06T23:04:37
I_2303_2330_frgp13,impostor,13,right,2303,2330,B,65,65,1000,500,0.379,qwen3vl,similarity_score,2026-07-06T23:04:38
I_2303_2332_frgp13,impostor,13,right,2303,2332,B,65,65,1000,500,0.381,qwen3vl,similarity_score,2026-07-06T23:04:38
I_2303_2334_frgp13,impostor,13,right,2303,2334,B,65,65,1000,500,0.389,qwen3vl,similarity_score,2026-07-06T23:04:39
I_2303_2337_frgp13,impostor,13,right,2303,2337,B,85,85,1000,500,0.382,qwen3vl,similarity_score,2026-07-06T23:04:39
I_2303_2338_frgp13,impostor,13,right,2303,2338,B,85,85,1000,500,0.388,qwen3vl,similarity_score,2026-07-06T23:04:39
I_2303_2339_frgp13,impostor,13,right,2303,2339,B,65,65,1000,500,0.383,qwen3vl,similarity_score,2026-07-06T23:04:40
I_2303_2340_frgp13,impostor,13,right,2303,2340,B,65,65,1000,500,0.381,qwen3vl,similarity_score,2026-07-06T23:04:40
I_2303_2341_frgp13,impostor,13,right,2303,2341,B,85,85,1000,500,0.379,qwen3vl,similarity_score,2026-07-06T23:04:41
I_2303_2342_frgp13,impostor,13,right,2303,2342,B,65,65,1000,500,0.38,qwen3vl,similarity_score,2026-07-06T23:04:41
I_2303_2344_frgp13,impostor,13,right,2303,2344,B,65,65,1000,500,0.384,qwen3vl,similarity_score,2026-07-06T23:04:41
I_2303_2348_frgp13,impostor,13,right,2303,2348,B,65,65,1000,500,0.377,qwen3vl,similarity_score,2026-07-06T23:04:42
I_2303_2349_frgp13,impostor,13,right,2303,2349,B,65,65,1000,500,0.382,qwen3vl,similarity_score,2026-07-06T23:04:42
I_2303_2351_frgp13,impostor,13,right,2303,2351,B,0,0,1000,500,0.363,qwen3vl,similarity_score,2026-07-06T23:04:42
I_2303_2352_frgp13,impostor,13,right,2303,2352,B,85,85,1000,500,0.381,qwen3vl,similarity_score,2026-07-06T23:04:43
I_2303_2353_frgp13,impostor,13,right,2303,2353,B,65,65,1000,500,0.38,qwen3vl,similarity_score,2026-07-06T23:04:43
I_2303_2355_frgp13,impostor,13,right,2303,2355,B,65,65,1000,500,0.382,qwen3vl,similarity_score,2026-07-06T23:04:44
I_2303_2356_frgp13,impostor,13,right,2303,2356,B,65,65,1000,500,0.379,qwen3vl,similarity_score,2026-07-06T23:04:44
I_2303_2357_frgp13,impostor,13,right,2303,2357,B,65,65,1000,500,0.385,qwen3vl,similarity_score,2026-07-06T23:04:44
I_2303_2358_frgp13,impostor,13,right,2303,2358,B,65,65,1000,500,0.384,qwen3vl,similarity_score,2026-07-06T23:04:45
I_2303_2359_frgp13,impostor,13,right,2303,2359,B,65,65,1000,500,0.385,qwen3vl,similarity_score,2026-07-06T23:04:45
I_2303_2360_frgp13,impostor,13,right,2303,2360,B,85,85,1000,500,0.384,qwen3vl,similarity_score,2026-07-06T23:04:45
I_2303_2362_frgp13,impostor,13,right,2303,2362,B,65,65,1000,500,0.383,qwen3vl,similarity_score,2026-07-06T23:04:46
I_2303_2364_frgp13,impostor,13,right,2303,2364,B,65,65,1000,500,0.385,qwen3vl,similarity_score,2026-07-06T23:04:46
I_2303_2367_frgp13,impostor,13,right,2303,2367,B,65,65,1000,500,0.388,qwen3vl,similarity_score,2026-07-06T23:04:47
I_2303_2368_frgp13,impostor,13,right,2303,2368,B,65,65,1000,500,0.385,qwen3vl,similarity_score,2026-07-06T23:04:47
I_2303_2369_frgp13,impostor,13,right,2303,2369,B,85,85,1000,500,0.385,qwen3vl,similarity_score,2026-07-06T23:04:47
I_2303_2370_frgp13,impostor,13,right,2303,2370,B,65,65,1000,500,0.384,qwen3vl,similarity_score,2026-07-06T23:04:48
I_2303_2371_frgp13,impostor,13,right,2303,2371,B,65,65,1000,500,0.383,qwen3vl,similarity_score,2026-07-06T23:04:48
I_2303_2372_frgp13,impostor,13,right,2303,2372,B,65,65,1000,500,0.386,qwen3vl,similarity_score,2026-07-06T23:04:49
I_2303_2373_frgp13,impostor,13,right,2303,2373,B,65,65,1000,500,0.386,qwen3vl,similarity_score,2026-07-06T23:04:49
I_2303_2374_frgp13,impostor,13,right,2303,2374,B,65,65,1000,500,0.387,qwen3vl,similarity_score,2026-07-06T23:04:49
I_2303_2375_frgp13,impostor,13,right,2303,2375,B,65,65,1000,500,0.388,qwen3vl,similarity_score,2026-07-06T23:04:50
I_2303_2376_frgp13,impostor,13,right,2303,2376,B,65,65,1000,500,0.388,qwen3vl,similarity_score,2026-07-06T23:04:50
I_2303_2379_frgp13,impostor,13,right,2303,2379,B,65,65,1000,500,0.386,qwen3vl,similarity_score,2026-07-06T23:04:50
I_2303_2380_frgp13,impostor,13,right,2303,2380,B,65,65,1000,500,0.385,qwen3vl,similarity_score,2026-07-06T23:04:51
I_2303_2381_frgp13,impostor,13,right,2303,2381,B,65,65,1000,500,0.387,qwen3vl,similarity_score,2026-07-06T23:04:51
I_2303_2383_frgp13,impostor,13,right,2303,2383,B,65,65,1000,500,0.386,qwen3vl,similarity_score,2026-07-06T23:04:52
I_2303_2384_frgp13,impostor,13,right,2303,2384,B,65,65,1000,500,0.384,qwen3vl,similarity_score,2026-07-06T23:04:52
I_2303_2386_frgp13,impostor,13,right,2303,2386,B,65,65,1000,500,0.386,qwen3vl,similarity_score,2026-07-06T23:04:52
I_2303_2388_frgp13,impostor,13,right,2303,2388,B,65,65,1000,500,0.383,qwen3vl,similarity_score,2026-07-06T23:04:53
I_2303_2391_frgp13,impostor,13,right,2303,2391,B,65,65,1000,500,0.382,qwen3vl,similarity_score,2026-07-06T23:04:53
I_2303_2392_frgp13,impostor,13,right,2303,2392,B,85,85,1000,500,0.384,qwen3vl,similarity_score,2026-07-06T23:04:54
I_2303_2394_frgp13,impostor,13,right,2303,2394,B,65,65,1000,500,0.383,qwen3vl,similarity_score,2026-07-06T23:04:54
I_2303_2395_frgp13,impostor,13,right,2303,2395,B,65,65,1000,500,0.385,qwen3vl,similarity_score,2026-07-06T23:04:54
I_2303_2396_frgp13,impostor,13,right,2303,2396,B,65,65,1000,500,0.386,qwen3vl,similarity_score,2026-07-06T23:04:55
I_2303_2398_frgp13,impostor,13,right,2303,2398,B,85,85,1000,500,0.383,qwen3vl,similarity_score,2026-07-06T23:04:55
I_2303_2399_frgp13,impostor,13,right,2303,2399,B,65,65,1000,500,0.384,qwen3vl,similarity_score,2026-07-06T23:04:55
I_2303_2401_frgp13,impostor,13,right,2303,2401,B,65,65,1000,500,0.382,qwen3vl,similarity_score,2026-07-06T23:04:56
I_2303_2402_frgp13,impostor,13,right,2303,2402,B,65,65,1000,500,0.384,qwen3vl,similarity_score,2026-07-06T23:04:56
I_2303_2403_frgp13,impostor,13,right,2303,2403,B,65,65,1000,500,0.383,qwen3vl,similarity_score,2026-07-06T23:04:57
I_2303_2405_frgp13,impostor,13,right,2303,2405,B,65,65,1000,500,0.382,qwen3vl,similarity_score,2026-07-06T23:04:57
I_2303_2406_frgp13,impostor,13,right,2303,2406,B,85,85,1000,500,0.383,qwen3vl,similarity_score,2026-07-06T23:04:57
I_2303_2407_frgp13,impostor,13,right,2303,2407,B,65,65,1000,500,0.384,qwen3vl,similarity_score,2026-07-06T23:04:58
I_2303_2408_frgp13,impostor,13,right,2303,2408,B,65,65,1000,500,0.382,qwen3vl,similarity_score,2026-07-06T23:04:58
I_2303_2409_frgp13,impostor,13,right,2303,2409,B,65,65,1000,500,0.382,qwen3vl,similarity_score,2026-07-06T23:04:59
I_2303_2412_frgp13,impostor,13,right,2303,2412,B,65,65,1000,500,0.382,qwen3vl,similarity_score,2026-07-06T23:04:59
I_2303_2413_frgp13,impostor,13,right,2303,2413,B,65,65,1000,500,0.388,qwen3vl,similarity_score,2026-07-06T23:04:59
I_2303_2415_frgp13,impostor,13,right,2303,2415,B,65,65,1000,500,0.387,qwen3vl,similarity_score,2026-07-06T23:05:00
I_2303_2418_frgp13,impostor,13,right,2303,2418,B,85,85,1000,500,0.385,qwen3vl,similarity_score,2026-07-06T23:05:00
I_2303_2423_frgp13,impostor,13,right,2303,2423,B,65,65,1000,500,0.381,qwen3vl,similarity_score,2026-07-06T23:05:00
I_2303_2424_frgp13,impostor,13,right,2303,2424,B,65,65,1000,500,0.383,qwen3vl,similarity_score,2026-07-06T23:05:01
I_2303_2425_frgp13,impostor,13,right,2303,2425,B,65,65,1000,500,0.385,qwen3vl,similarity_score,2026-07-06T23:05:01
I_2303_2426_frgp13,impostor,13,right,2303,2426,B,65,65,1000,500,0.381,qwen3vl,similarity_score,2026-07-06T23:05:02
I_2303_2428_frgp13,impostor,13,right,2303,2428,B,85,85,1000,500,0.382,qwen3vl,similarity_score,2026-07-06T23:05:02
I_2303_2440_frgp13,impostor,13,right,2303,2440,B,65,65,1000,500,0.381,qwen3vl,similarity_score,2026-07-06T23:05:02
I_2303_2447_frgp13,impostor,13,right,2303,2447,B,85,85,1000,500,0.38,qwen3vl,similarity_score,2026-07-06T23:05:03
I_2303_2455_frgp13,impostor,13,right,2303,2455,B,65,65,1000,500,0.38,qwen3vl,similarity_score,2026-07-06T23:05:03
I_2303_2462_frgp13,impostor,13,right,2303,2462,B,65,65,1000,500,0.38,qwen3vl,similarity_score,2026-07-06T23:05:04
I_2303_2463_frgp13,impostor,13,right,2303,2463,B,65,65,1000,500,0.383,qwen3vl,similarity_score,2026-07-06T23:05:04
I_2303_2481_frgp13,impostor,13,right,2303,2481,B,65,65,1000,500,0.386,qwen3vl,similarity_score,2026-07-06T23:05:04
I_2304_2306_frgp13,impostor,13,right,2304,2306,B,65,65,1000,500,0.381,qwen3vl,similarity_score,2026-07-06T23:05:05
I_2304_2307_frgp13,impostor,13,right,2304,2307,B,85,85,1000,500,0.381,qwen3vl,similarity_score,2026-07-06T23:05:05
I_2304_2310_frgp13,impostor,13,right,2304,2310,B,65,65,1000,500,0.38,qwen3vl,similarity_score,2026-07-06T23:05:05
I_2304_2312_frgp13,impostor,13,right,2304,2312,B,65,65,1000,500,0.379,qwen3vl,similarity_score,2026-07-06T23:05:06
I_2304_2313_frgp13,impostor,13,right,2304,2313,B,65,65,1000,500,0.379,qwen3vl,similarity_score,2026-07-06T23:05:06
I_2304_2314_frgp13,impostor,13,right,2304,2314,B,65,65,1000,500,0.379,qwen3vl,similarity_score,2026-07-06T23:05:07
I_2304_2315_frgp13,impostor,13,right,2304,2315,B,65,65,1000,500,0.378,qwen3vl,similarity_score,2026-07-06T23:05:07
I_2304_2317_frgp13,impostor,13,right,2304,2317,B,85,85,1000,500,0.378,qwen3vl,similarity_score,2026-07-06T23:05:07
I_2304_2319_frgp13,impostor,13,right,2304,2319,B,65,65,1000,500,0.375,qwen3vl,similarity_score,2026-07-06T23:05:08
I_2304_2320_frgp13,impostor,13,right,2304,2320,B,65,65,1000,500,0.377,qwen3vl,similarity_score,2026-07-06T23:05:08
I_2304_2321_frgp13,impostor,13,right,2304,2321,B,65,65,1000,500,0.38,qwen3vl,similarity_score,2026-07-06T23:05:08
I_2304_2325_frgp13,impostor,13,right,2304,2325,B,65,65,1000,500,0.381,qwen3vl,similarity_score,2026-07-06T23:05:09
I_2304_2326_frgp13,impostor,13,right,2304,2326,B,65,65,1000,500,0.383,qwen3vl,similarity_score,2026-07-06T23:05:09
I_2304_2327_frgp13,impostor,13,right,2304,2327,B,65,65,1000,500,0.38,qwen3vl,similarity_score,2026-07-06T23:05:10
I_2304_2328_frgp13,impostor,13,right,2304,2328,B,65,65,1000,500,0.381,qwen3vl,similarity_score,2026-07-06T23:05:10
I_2304_2329_frgp13,impostor,13,right,2304,2329,B,85,85,1000,500,0.388,qwen3vl,similarity_score,2026-07-06T23:05:10
I_2304_2330_frgp13,impostor,13,right,2304,2330,B,65,65,1000,500,0.382,qwen3vl,similarity_score,2026-07-06T23:05:11
I_2304_2332_frgp13,impostor,13,right,2304,2332,B,65,65,1000,500,0.381,qwen3vl,similarity_score,2026-07-06T23:05:11
I_2304_2334_frgp13,impostor,13,right,2304,2334,B,65,65,1000,500,0.383,qwen3vl,similarity_score,2026-07-06T23:05:12
I_2304_2337_frgp13,impostor,13,right,2304,2337,B,85,85,1000,500,0.38,qwen3vl,similarity_score,2026-07-06T23:05:12
I_2304_2338_frgp13,impostor,13,right,2304,2338,B,85,85,1000,500,0.381,qwen3vl,similarity_score,2026-07-06T23:05:12
I_2304_2339_frgp13,impostor,13,right,2304,2339,B,65,65,1000,500,0.38,qwen3vl,similarity_score,2026-07-06T23:05:13
I_2304_2340_frgp13,impostor,13,right,2304,2340,B,65,65,1000,500,0.379,qwen3vl,similarity_score,2026-07-06T23:05:13
I_2304_2341_frgp13,impostor,13,right,2304,2341,B,65,65,1000,500,0.381,qwen3vl,similarity_score,2026-07-06T23:05:13
I_2304_2342_frgp13,impostor,13,right,2304,2342,B,65,65,1000,500,0.384,qwen3vl,similarity_score,2026-07-06T23:05:14
I_2304_2344_frgp13,impostor,13,right,2304,2344,B,85,85,1000,500,0.383,qwen3vl,similarity_score,2026-07-06T23:05:14
I_2304_2348_frgp13,impostor,13,right,2304,2348,B,65,65,1000,500,0.38,qwen3vl,similarity_score,2026-07-06T23:05:15
I_2304_2349_frgp13,impostor,13,right,2304,2349,B,65,65,1000,500,0.386,qwen3vl,similarity_score,2026-07-06T23:05:15
I_2304_2351_frgp13,impostor,13,right,2304,2351,B,65,65,1000,500,0.379,qwen3vl,similarity_score,2026-07-06T23:05:15
I_2304_2352_frgp13,impostor,13,right,2304,2352,B,65,65,1000,500,0.384,qwen3vl,similarity_score,2026-07-06T23:05:16
I_2304_2353_frgp13,impostor,13,right,2304,2353,B,65,65,1000,500,0.401,qwen3vl,similarity_score,2026-07-06T23:05:16
I_2304_2355_frgp13,impostor,13,right,2304,2355,B,65,65,1000,500,0.384,qwen3vl,similarity_score,2026-07-06T23:05:17
