pair_id,label,category,device_pair,subject1,subject2,hand1,hand2,ground_truth,similarity_score,raw_response,latency_s,model,prompting_setting,timestamp
I_44595_58398_left_s,non-mated,primary_impostor,same,44595,58398,left,left,B,65,65,0.411,qwen3vl,similarity_score,2026-08-22T21:56:36
G_14493_left_18,mated,primary_genuine,cross,14493,14493,left,left,A,65,65,0.399,qwen3vl,similarity_score,2026-08-22T21:56:36
G_99775_right_2898,mated,primary_genuine,same,99775,99775,right,right,A,85,85,0.404,qwen3vl,similarity_score,2026-08-22T21:56:37
I_27295_58398_right_x,non-mated,primary_impostor,cross,27295,58398,right,right,B,65,65,0.399,qwen3vl,similarity_score,2026-08-22T21:56:37
I_32467_57145_right_x,non-mated,primary_impostor,cross,32467,57145,right,right,B,65,65,0.402,qwen3vl,similarity_score,2026-08-22T21:56:37
G_20294_right_240,mated,primary_genuine,cross,20294,20294,right,right,A,65,65,0.398,qwen3vl,similarity_score,2026-08-22T21:56:38
I_27295_93812_right_x,non-mated,primary_impostor,cross,27295,93812,right,right,B,65,65,0.402,qwen3vl,similarity_score,2026-08-22T21:56:38
D_69658_195,non-mated,diagnostic_impostor,cross,69658,69658,left,right,B,65,65,0.398,qwen3vl,similarity_score,2026-08-22T21:56:39
I_14493_89171_right_s,non-mated,primary_impostor,same,14493,89171,right,right,B,85,85,0.421,qwen3vl,similarity_score,2026-08-22T21:56:39
D_69658_199,non-mated,diagnostic_impostor,same,69658,69658,left,right,B,65,65,0.386,qwen3vl,similarity_score,2026-08-22T21:56:39
I_47904_58398_left_x,non-mated,primary_impostor,cross,47904,58398,left,left,B,65,65,0.4,qwen3vl,similarity_score,2026-08-22T21:56:40
I_65052_69658_left_x,non-mated,primary_impostor,cross,65052,69658,left,left,B,65,65,0.401,qwen3vl,similarity_score,2026-08-22T21:56:40
D_58398_133,non-mated,diagnostic_impostor,cross,58398,58398,left,right,B,65,65,0.397,qwen3vl,similarity_score,2026-08-22T21:56:41
I_14493_24101_right_s,non-mated,primary_impostor,same,14493,24101,right,right,B,65,65,0.414,qwen3vl,similarity_score,2026-08-22T21:56:41
G_56583_left_888,mated,primary_genuine,same,56583,56583,left,left,A,65,65,0.38,qwen3vl,similarity_score,2026-08-22T21:56:41
I_83742_87757_left_x,non-mated,primary_impostor,cross,83742,87757,left,left,B,65,65,0.396,qwen3vl,similarity_score,2026-08-22T21:56:42
D_47904_90,non-mated,diagnostic_impostor,same,47904,47904,left,right,B,65,65,0.382,qwen3vl,similarity_score,2026-08-22T21:56:42
I_69658_76957_left_s,non-mated,primary_impostor,same,69658,76957,left,left,B,85,85,0.408,qwen3vl,similarity_score,2026-08-22T21:56:43
G_24101_left_296,mated,primary_genuine,same,24101,24101,left,left,A,100,100,0.4,qwen3vl,similarity_score,2026-08-22T21:56:43
I_20294_32467_right_x,non-mated,primary_impostor,cross,20294,32467,right,right,B,65,65,0.407,qwen3vl,similarity_score,2026-08-22T21:56:43
D_63029_160,non-mated,diagnostic_impostor,same,63029,63029,left,right,B,65,65,0.382,qwen3vl,similarity_score,2026-08-22T21:56:44
I_57145_57833_left_x,non-mated,primary_impostor,cross,57145,57833,left,left,B,65,65,0.402,qwen3vl,similarity_score,2026-08-22T21:56:44
G_96608_left_2701,mated,primary_genuine,same,96608,96608,left,left,A,85,85,0.411,qwen3vl,similarity_score,2026-08-22T21:56:45
I_14493_32467_right_s,non-mated,primary_impostor,same,14493,32467,right,right,B,65,65,0.418,qwen3vl,similarity_score,2026-08-22T21:56:45
G_69658_right_1939,mated,primary_genuine,same,69658,69658,right,right,A,65,65,0.384,qwen3vl,similarity_score,2026-08-22T21:56:45
I_58793_63029_right_s,non-mated,primary_impostor,same,58793,63029,right,right,B,65,65,0.405,qwen3vl,similarity_score,2026-08-22T21:56:46
I_44595_96608_right_x,non-mated,primary_impostor,cross,44595,96608,right,right,B,65,65,0.398,qwen3vl,similarity_score,2026-08-22T21:56:46
I_44595_87757_left_s,non-mated,primary_impostor,same,44595,87757,left,left,B,65,65,0.412,qwen3vl,similarity_score,2026-08-22T21:56:47
D_87757_240,non-mated,diagnostic_impostor,cross,87757,87757,left,right,B,65,65,0.403,qwen3vl,similarity_score,2026-08-22T21:56:47
G_20294_left_195,mated,primary_genuine,same,20294,20294,left,left,A,65,65,0.388,qwen3vl,similarity_score,2026-08-22T21:56:47
G_27295_left_309,mated,primary_genuine,same,27295,27295,left,left,A,65,65,0.407,qwen3vl,similarity_score,2026-08-22T21:56:48
D_24101_32,non-mated,diagnostic_impostor,same,24101,24101,left,right,B,65,65,0.381,qwen3vl,similarity_score,2026-08-22T21:56:48
G_76957_right_2160,mated,primary_genuine,cross,76957,76957,right,right,A,65,65,0.393,qwen3vl,similarity_score,2026-08-22T21:56:49
G_14493_left_57,mated,primary_genuine,same,14493,14493,left,left,A,85,85,0.384,qwen3vl,similarity_score,2026-08-22T21:56:49
I_43210_56583_right_x,non-mated,primary_impostor,cross,43210,56583,right,right,B,65,65,0.401,qwen3vl,similarity_score,2026-08-22T21:56:49
I_65052_76957_right_s,non-mated,primary_impostor,same,65052,76957,right,right,B,65,65,0.413,qwen3vl,similarity_score,2026-08-22T21:56:50
I_57833_58398_left_x,non-mated,primary_impostor,cross,57833,58398,left,left,B,65,65,0.398,qwen3vl,similarity_score,2026-08-22T21:56:50
G_83742_left_2253,mated,primary_genuine,same,83742,83742,left,left,A,65,65,0.382,qwen3vl,similarity_score,2026-08-22T21:56:51
D_20294_20,non-mated,diagnostic_impostor,same,20294,20294,left,right,B,65,65,0.385,qwen3vl,similarity_score,2026-08-22T21:56:51
I_89171_99775_right_x,non-mated,primary_impostor,cross,89171,99775,right,right,B,65,65,0.4,qwen3vl,similarity_score,2026-08-22T21:56:51
D_89171_258,non-mated,diagnostic_impostor,cross,89171,89171,left,right,B,65,65,0.398,qwen3vl,similarity_score,2026-08-22T21:56:52
I_47904_58793_right_x,non-mated,primary_impostor,cross,47904,58793,right,right,B,65,65,0.401,qwen3vl,similarity_score,2026-08-22T21:56:52
I_47904_63029_left_s,non-mated,primary_impostor,same,47904,63029,left,left,B,85,85,0.411,qwen3vl,similarity_score,2026-08-22T21:56:53
I_63029_93812_right_x,non-mated,primary_impostor,cross,63029,93812,right,right,B,65,65,0.399,qwen3vl,similarity_score,2026-08-22T21:56:53
G_58398_right_1356,mated,primary_genuine,same,58398,58398,right,right,A,65,65,0.382,qwen3vl,similarity_score,2026-08-22T21:56:53
G_93812_left_2619,mated,primary_genuine,cross,93812,93812,left,left,A,85,85,0.394,qwen3vl,similarity_score,2026-08-22T21:56:54
G_57833_left_1150,mated,primary_genuine,same,57833,57833,left,left,A,65,65,0.398,qwen3vl,similarity_score,2026-08-22T21:56:54
G_57833_left_1152,mated,primary_genuine,cross,57833,57833,left,left,A,65,65,0.397,qwen3vl,similarity_score,2026-08-22T21:56:55
I_47904_69658_left_x,non-mated,primary_impostor,cross,47904,69658,left,left,B,65,65,0.399,qwen3vl,similarity_score,2026-08-22T21:56:55
G_47904_right_834,mated,primary_genuine,same,47904,47904,right,right,A,95,95,0.386,qwen3vl,similarity_score,2026-08-22T21:56:55
G_58398_right_1352,mated,primary_genuine,cross,58398,58398,right,right,A,65,65,0.393,qwen3vl,similarity_score,2026-08-22T21:56:56
G_14493_right_114,mated,primary_genuine,cross,14493,14493,right,right,A,65,65,0.387,qwen3vl,similarity_score,2026-08-22T21:56:56
G_65030_right_1685,mated,primary_genuine,cross,65030,65030,right,right,A,65,65,0.396,qwen3vl,similarity_score,2026-08-22T21:56:57
I_65052_96608_left_x,non-mated,primary_impostor,cross,65052,96608,left,left,B,65,65,0.4,qwen3vl,similarity_score,2026-08-22T21:56:57
I_43210_57833_right_x,non-mated,primary_impostor,cross,43210,57833,right,right,B,65,65,0.394,qwen3vl,similarity_score,2026-08-22T21:56:57
G_93812_left_2587,mated,primary_genuine,same,93812,93812,left,left,A,65,65,0.412,qwen3vl,similarity_score,2026-08-22T21:56:58
G_14493_right_89,mated,primary_genuine,same,14493,14493,right,right,A,85,85,0.4,qwen3vl,similarity_score,2026-08-22T21:56:58
G_99775_right_2920,mated,primary_genuine,cross,99775,99775,right,right,A,65,65,0.398,qwen3vl,similarity_score,2026-08-22T21:56:59
G_87757_left_2372,mated,primary_genuine,cross,87757,87757,left,left,A,65,65,0.402,qwen3vl,similarity_score,2026-08-22T21:56:59
I_44595_58793_left_x,non-mated,primary_impostor,cross,44595,58793,left,left,B,65,65,0.392,qwen3vl,similarity_score,2026-08-22T21:56:59
I_20294_58398_left_s,non-mated,primary_impostor,same,20294,58398,left,left,B,65,65,0.415,qwen3vl,similarity_score,2026-08-22T21:57:00
G_65030_right_1699,mated,primary_genuine,cross,65030,65030,right,right,A,65,65,0.395,qwen3vl,similarity_score,2026-08-22T21:57:00
G_87757_right_2442,mated,primary_genuine,same,87757,87757,right,right,A,65,65,0.41,qwen3vl,similarity_score,2026-08-22T21:57:01
I_93812_96608_left_s,non-mated,primary_impostor,same,93812,96608,left,left,B,65,65,0.416,qwen3vl,similarity_score,2026-08-22T21:57:01
G_69658_left_1873,mated,primary_genuine,cross,69658,69658,left,left,A,65,65,0.396,qwen3vl,similarity_score,2026-08-22T21:57:01
G_76957_left_2114,mated,primary_genuine,cross,76957,76957,left,left,A,65,65,0.389,qwen3vl,similarity_score,2026-08-22T21:57:02
G_65030_right_1705,mated,primary_genuine,cross,65030,65030,right,right,A,65,65,0.389,qwen3vl,similarity_score,2026-08-22T21:57:02
G_96608_left_2741,mated,primary_genuine,cross,96608,96608,left,left,A,65,65,0.387,qwen3vl,similarity_score,2026-08-22T21:57:03
G_20294_left_137,mated,primary_genuine,cross,20294,20294,left,left,A,65,65,0.411,qwen3vl,similarity_score,2026-08-22T21:57:03
I_32467_57145_left_x,non-mated,primary_impostor,cross,32467,57145,left,left,B,65,65,0.405,qwen3vl,similarity_score,2026-08-22T21:57:03
G_65030_left_1671,mated,primary_genuine,same,65030,65030,left,left,A,95,95,0.384,qwen3vl,similarity_score,2026-08-22T21:57:04
G_65052_left_1738,mated,primary_genuine,same,65052,65052,left,left,A,65,65,0.406,qwen3vl,similarity_score,2026-08-22T21:57:04
D_76957_223,non-mated,diagnostic_impostor,same,76957,76957,left,right,B,65,65,0.382,qwen3vl,similarity_score,2026-08-22T21:57:05
G_63029_right_1584,mated,primary_genuine,cross,63029,63029,right,right,A,65,65,0.4,qwen3vl,similarity_score,2026-08-22T21:57:05
I_43210_83742_left_s,non-mated,primary_impostor,same,43210,83742,left,left,B,65,65,0.413,qwen3vl,similarity_score,2026-08-22T21:57:05
G_27295_left_355,mated,primary_genuine,same,27295,27295,left,left,A,65,65,0.381,qwen3vl,similarity_score,2026-08-22T21:57:06
G_83742_left_2224,mated,primary_genuine,same,83742,83742,left,left,A,65,65,0.403,qwen3vl,similarity_score,2026-08-22T21:57:06
I_58398_58793_left_s,non-mated,primary_impostor,same,58398,58793,left,left,B,65,65,0.411,qwen3vl,similarity_score,2026-08-22T21:57:07
I_57145_63029_left_x,non-mated,primary_impostor,cross,57145,63029,left,left,B,65,65,0.397,qwen3vl,similarity_score,2026-08-22T21:57:07
G_57833_right_1237,mated,primary_genuine,cross,57833,57833,right,right,A,65,65,0.391,qwen3vl,similarity_score,2026-08-22T21:57:07
I_57833_96608_left_s,non-mated,primary_impostor,same,57833,96608,left,left,B,65,65,0.415,qwen3vl,similarity_score,2026-08-22T21:57:08
D_99775_293,non-mated,diagnostic_impostor,same,99775,99775,left,right,B,65,65,0.377,qwen3vl,similarity_score,2026-08-22T21:57:08
G_43210_left_600,mated,primary_genuine,cross,43210,43210,left,left,A,65,65,0.388,qwen3vl,similarity_score,2026-08-22T21:57:09
I_44595_74850_left_s,non-mated,primary_impostor,same,44595,74850,left,left,B,65,65,0.41,qwen3vl,similarity_score,2026-08-22T21:57:09
G_56583_right_894,mated,primary_genuine,cross,56583,56583,right,right,A,65,65,0.395,qwen3vl,similarity_score,2026-08-22T21:57:09
I_43210_93812_left_x,non-mated,primary_impostor,cross,43210,93812,left,left,B,65,65,0.402,qwen3vl,similarity_score,2026-08-22T21:57:10
G_87757_right_2434,mated,primary_genuine,same,87757,87757,right,right,A,85,85,0.411,qwen3vl,similarity_score,2026-08-22T21:57:10
G_87757_left_2379,mated,primary_genuine,cross,87757,87757,left,left,A,65,65,0.403,qwen3vl,similarity_score,2026-08-22T21:57:11
I_24101_83742_left_s,non-mated,primary_impostor,same,24101,83742,left,left,B,65,65,0.412,qwen3vl,similarity_score,2026-08-22T21:57:11
D_63029_163,non-mated,diagnostic_impostor,same,63029,63029,left,right,B,65,65,0.408,qwen3vl,similarity_score,2026-08-22T21:57:11
I_27295_76957_left_s,non-mated,primary_impostor,same,27295,76957,left,left,B,65,65,0.409,qwen3vl,similarity_score,2026-08-22T21:57:12
D_58793_153,non-mated,diagnostic_impostor,cross,58793,58793,left,right,B,65,65,0.398,qwen3vl,similarity_score,2026-08-22T21:57:12
G_93812_left_2637,mated,primary_genuine,same,93812,93812,left,left,A,65,65,0.388,qwen3vl,similarity_score,2026-08-22T21:57:13
D_65052_180,non-mated,diagnostic_impostor,same,65052,65052,left,right,B,65,65,0.386,qwen3vl,similarity_score,2026-08-22T21:57:13
I_24101_56583_left_s,non-mated,primary_impostor,same,24101,56583,left,left,B,65,65,0.412,qwen3vl,similarity_score,2026-08-22T21:57:13
G_24101_left_292,mated,primary_genuine,cross,24101,24101,left,left,A,65,65,0.405,qwen3vl,similarity_score,2026-08-22T21:57:14
I_58793_93812_right_x,non-mated,primary_impostor,cross,58793,93812,right,right,B,65,65,0.4,qwen3vl,similarity_score,2026-08-22T21:57:14
I_57145_76957_left_x,non-mated,primary_impostor,cross,57145,76957,left,left,B,65,65,0.399,qwen3vl,similarity_score,2026-08-22T21:57:15
I_65052_83742_right_s,non-mated,primary_impostor,same,65052,83742,right,right,B,65,65,0.41,qwen3vl,similarity_score,2026-08-22T21:57:15
D_20294_18,non-mated,diagnostic_impostor,cross,20294,20294,left,right,B,65,65,0.395,qwen3vl,similarity_score,2026-08-22T21:57:15
D_58793_150,non-mated,diagnostic_impostor,cross,58793,58793,left,right,B,65,65,0.399,qwen3vl,similarity_score,2026-08-22T21:57:16
G_63029_left_1517,mated,primary_genuine,cross,63029,63029,left,left,A,65,65,0.401,qwen3vl,similarity_score,2026-08-22T21:57:16
I_65030_87757_left_x,non-mated,primary_impostor,cross,65030,87757,left,left,B,65,65,0.399,qwen3vl,similarity_score,2026-08-22T21:57:17
I_20294_57833_left_x,non-mated,primary_impostor,cross,20294,57833,left,left,B,65,65,0.409,qwen3vl,similarity_score,2026-08-22T21:57:17
I_65030_74850_right_x,non-mated,primary_impostor,cross,65030,74850,right,right,B,65,65,0.4,qwen3vl,similarity_score,2026-08-22T21:57:17
D_57145_108,non-mated,diagnostic_impostor,same,57145,57145,left,right,B,65,65,0.412,qwen3vl,similarity_score,2026-08-22T21:57:18
G_65030_left_1676,mated,primary_genuine,same,65030,65030,left,left,A,65,65,0.377,qwen3vl,similarity_score,2026-08-22T21:57:18
